locality,region,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Liege,Wallonie,APARTMENT,APARTMENT,139000,residential_sale,2,,None,No,No,No,,No,,80,,,No,None
Westerlo,Flanders,HOUSE,HOUSE,299000,residential_sale,3,,None,No,No,Yes,,No,,180,,,No,None
RIENNE,Wallonie,HOUSE,HOUSE,298000,residential_sale,3,,None,No,No,Yes,,No,,143,,,No,None
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,675000,residential_sale,4,40,No,No,No,No,,Yes,100,155,243,3,No,GOOD
Molenbeek-Saint-Jean,Brussels,APARTMENT,APARTMENT,195000,residential_sale,2,,None,No,No,Yes,18,No,,122,,,No,None
Zedelgem,Flanders,HOUSE,HOUSE,850000,residential_sale,4,,None,No,No,Yes,,Yes,4500,230,,,Yes,None
QUEVAUCAMPS,Wallonie,HOUSE,HOUSE,285000,residential_sale,2,,None,No,Yes,No,,No,,137,,,No,None
Huy,Wallonie,HOUSE,HOUSE,229500,residential_sale,3,27,No,No,Yes,Yes,,Yes,,120,330,2,No,GOOD
Verviers,Wallonie,HOUSE,HOUSE,135000,residential_sale,7,,None,No,No,Yes,50,No,,306,,,No,None
Leopoldsburg,Flanders,HOUSE,HOUSE,199000,residential_sale,3,,None,No,No,Yes,,No,,150,,,No,None
Oostkamp,Flanders,HOUSE,HOUSE,850000,residential_sale,3,,None,No,No,Yes,,No,,280,,,No,None
HAUT-FAYS,Wallonie,HOUSE,HOUSE,135000,residential_sale,2,32,No,No,No,Yes,,Yes,172,142,213,3,No,
Schaerbeek,Brussels,HOUSE,HOUSE,650000,residential_sale,8,50,Yes,No,No,Yes,27,No,,323,100,2,Yes,GOOD
Schaerbeek,Brussels,APARTMENT,APARTMENT,195000,residential_sale,2,,None,No,No,No,,No,,66,,,No,None
Gesves,Wallonie,HOUSE,HOUSE,229000,residential_sale,3,28,No,No,Yes,Yes,12,Yes,1450,181,1670,3,No,TO_BE_DONE_UP
Lontzen,Wallonie,APARTMENT,APARTMENT,333000,residential_sale,2,,None,No,No,Yes,40,No,,89,,,No,None
Paliseul,Wallonie,HOUSE,HOUSE,175000,residential_sale,4,29,No,No,Yes,No,,Yes,,126,678,2,No,TO_BE_DONE_UP
Asse,Flanders,HOUSE,HOUSE,212000,residential_sale,2,42,No,No,No,Yes,,No,,,150,2,No,
Wezembeek-Oppem,Flanders,HOUSE,HOUSE,645000,residential_sale,3,36,No,No,No,Yes,,Yes,350,190,709,4,No,TO_RENOVATE
Woluwe-Saint-Lambert,Brussels,HOUSE,HOUSE,789000,residential_sale,4,32,Yes,No,No,Yes,15,Yes,75,220,184,2,No,GOOD
DION,Wallonie,HOUSE,HOUSE,395000,residential_sale,3,27,No,No,No,Yes,,Yes,719,155,917,4,Yes,AS_NEW
Wanze,Wallonie,HOUSE,HOUSE,229000,residential_sale,3,29,No,No,Yes,Yes,65,Yes,186,146,363,3,No,GOOD
Lontzen,Wallonie,APARTMENT,APARTMENT,203000,residential_sale,1,,None,No,No,Yes,35,No,,89,,,No,None
Waregem,Flanders,HOUSE,HOUSE,349000,residential_sale,3,,None,No,Yes,Yes,,No,,171,,,No,None
Charleroi,Wallonie,APARTMENT,APARTMENT,110000,residential_sale,2,,None,No,No,Yes,,No,,75,,,No,None
Schaerbeek,Brussels,APARTMENT,APARTMENT,195000,residential_sale,2,,None,No,No,No,,No,,66,,,No,None
Woluwe-Saint-Lambert,Brussels,HOUSE,HOUSE,2450000,residential_sale,7,53,Yes,No,No,Yes,40,Yes,2000,260,2385,4,Yes,GOOD
Olne,Wallonie,HOUSE,HOUSE,220000,residential_sale,5,,None,No,Yes,No,,No,,161,,,No,None
Anderlecht,Brussels,HOUSE,HOUSE,645000,residential_sale,4,30,No,No,No,Yes,4,No,,320,320,2,No,TO_RENOVATE
Schaerbeek,Brussels,APARTMENT,APARTMENT,189000,residential_sale,1,,None,No,No,No,,No,,65,,,No,None
Liège Wandre,Wallonie,HOUSE,HOUSE,229000,residential_sale,3,,None,No,No,Yes,32,Yes,250,120,,,No,None
©caussinnes,Wallonie,HOUSE,HOUSE,275000,residential_sale,3,34,No,No,No,Yes,25,No,,120,166,3,No,GOOD
Marcinelle,Wallonie,HOUSE,HOUSE,102000,residential_sale,2,,None,No,No,No,,No,,120,,,No,None
Wezembeek-Oppem,Flanders,HOUSE,HOUSE,349000,residential_sale,3,21,No,No,No,Yes,10,Yes,35,85,105,2,No,GOOD
Ixelles,Brussels,HOUSE,HOUSE,1960000,residential_sale,6,50,Yes,No,Yes,Yes,50,Yes,200,509,300,2,No,AS_NEW
Deurne,Flanders,APARTMENT,APARTMENT,169500,residential_sale,1,,None,No,Yes,Yes,8,No,,65,,,No,None
Overijse,Flanders,HOUSE,HOUSE,635000,residential_sale,3,,None,No,No,Yes,45,Yes,450,210,,,No,None
Herstal,Wallonie,HOUSE,HOUSE,225000,residential_sale,2,,None,No,Yes,Yes,9,Yes,104,81,,,No,None
Lontzen,Wallonie,APARTMENT,APARTMENT,333000,residential_sale,2,,None,No,No,Yes,35,No,,89,,,No,None
Jurbise,Wallonie,APARTMENT,APARTMENT,185000,residential_sale,2,,None,No,No,No,,No,,85,,,No,None
Velaines,Wallonie,HOUSE,HOUSE,379000,residential_sale,3,,None,No,No,Yes,27,Yes,896,225,,,No,None
Uccle,Brussels,HOUSE,HOUSE,1590000,residential_sale,3,,None,No,Yes,Yes,135,Yes,900,319,,,No,None
Montignies-sur-Sambre,Wallonie,APARTMENT,APARTMENT,190000,residential_sale,2,,None,No,Yes,Yes,71,No,,74,,,No,None
Saint-Nicolas,Wallonie,HOUSE,HOUSE,220000,residential_sale,3,14,No,No,No,Yes,25,Yes,70,117,169,2,No,GOOD
Dilbeek,Flanders,HOUSE,HOUSE,349000,residential_sale,3,31,No,No,No,Yes,20,Yes,200,157,280,2,No,GOOD
Kraainem,Flanders,HOUSE,HOUSE,635000,residential_sale,3,,None,No,No,Yes,,No,,185,,,No,None
SCHAFFEN,Flanders,HOUSE,HOUSE,348000,residential_sale,5,,None,No,Yes,Yes,,Yes,,190,,,No,None
Jurbise,Wallonie,APARTMENT,APARTMENT,185000,residential_sale,2,,None,No,No,No,,No,,85,,,No,None
Schepdaal,Flanders,HOUSE,HOUSE,419000,residential_sale,3,48,No,No,Yes,Yes,10,Yes,229,232,329,2,No,GOOD
Sint-Martens-Latem Deurle,Flanders,HOUSE,HOUSE,595000,residential_sale,3,,None,No,No,Yes,,No,,167,,,No,None
Schaerbeek,Brussels,HOUSE,HOUSE,1495000,residential_sale,9,,None,No,Yes,Yes,6,Yes,715,700,,,No,None
Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,Wallonie,HOUSE,HOUSE,625000,residential_sale,5,18,Yes,No,No,Yes,25,Yes,200,203,366,3,No,JUST_RENOVATED
IVOZ-RAMET,Wallonie,HOUSE,HOUSE,220000,residential_sale,2,26,No,No,Yes,Yes,35,Yes,380,100,509,3,No,GOOD
Schaerbeek,Brussels,APARTMENT,APARTMENT,185000,residential_sale,2,,None,No,No,No,,No,,75,,,No,None
Rixensart,Wallonie,HOUSE,HOUSE,345000,residential_sale,2,28,No,No,No,Yes,19,No,,104,405,4,No,GOOD
Lontzen,Wallonie,APARTMENT,APARTMENT,214000,residential_sale,1,,None,No,No,Yes,10,No,,54,,,No,None
Lontzen,Wallonie,APARTMENT,APARTMENT,309000,residential_sale,2,,None,No,No,Yes,20,No,,82,,,No,None
Braine-l'Alleud,Wallonie,HOUSE,HOUSE,625000,residential_sale,5,18,Yes,No,No,Yes,25,Yes,200,203,366,3,No,JUST_RENOVATED
Arlon,Wallonie,HOUSE,HOUSE,415000,residential_sale,3,,None,No,Yes,No,,Yes,,172,,,No,None
Schaerbeek,Brussels,APARTMENT,APARTMENT,225000,residential_sale,2,,None,No,No,No,,No,,74,,,No,None
Amay,Wallonie,HOUSE,HOUSE,219500,residential_sale,1,,None,No,Yes,Yes,,Yes,,160,,,No,None
Watermael-Boitsfort,Brussels,HOUSE,HOUSE,1480000,residential_sale,6,,None,No,No,Yes,17,Yes,1020,425,,,No,None
Auderghem,Brussels,APARTMENT,APARTMENT,179000,residential_sale,1,,None,No,No,No,,No,,52,,,No,None
Tienen,Flanders,HOUSE,HOUSE,335000,residential_sale,4,,None,No,No,Yes,,No,,182,,,No,None
Lontzen,Wallonie,APARTMENT,APARTMENT,336000,residential_sale,2,,None,No,No,Yes,20,No,,88,,,No,None
Etterbeek,Brussels,HOUSE,HOUSE,900000,residential_sale,6,,None,No,No,Yes,24,Yes,250,252,,,No,None
Berchem,Flanders,HOUSE,HOUSE,399000,residential_sale,5,66,No,No,Yes,Yes,57,No,,191,10290,4,No,GOOD
Uccle,Brussels,HOUSE,HOUSE,1450000,residential_sale,4,,None,No,No,Yes,35,Yes,370,338,,,No,None
OETINGEN,Flanders,HOUSE,HOUSE,620000,residential_sale,3,,None,No,Yes,Yes,,No,,250,,,No,None
Herstal,Wallonie,APARTMENT,APARTMENT,177500,residential_sale,2,,None,No,Yes,No,,No,,95,,,No,None
ANTHEIT,Wallonie,HOUSE,HOUSE,219500,residential_sale,3,32,No,No,Yes,Yes,,Yes,,135,1000,3,No,TO_BE_DONE_UP
Lontzen,Wallonie,APARTMENT,APARTMENT,368000,residential_sale,2,,None,No,No,Yes,12,No,,97,,,No,None
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,895000,residential_sale,6,36,No,No,No,Yes,20,No,,210,579,3,No,GOOD
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,325000,residential_sale,1,,None,No,No,Yes,30,Yes,40,90,,,No,None
Herne,Flanders,HOUSE,HOUSE,399000,residential_sale,4,38,No,No,Yes,Yes,10,Yes,1258,177,1435,4,No,TO_BE_DONE_UP
Wavre Limal,Wallonie,HOUSE,HOUSE,620000,residential_sale,4,49,No,No,No,Yes,39,Yes,1400,390,1685,4,No,TO_RENOVATE
Huy,Wallonie,HOUSE,HOUSE,219000,residential_sale,4,28,No,No,Yes,Yes,81,No,,164,215,4,No,GOOD
SAINT-GILLES,Brussels,HOUSE,HOUSE,1250000,residential_sale,5,50,No,No,Yes,Yes,16,Yes,130,464,260,2,No,AS_NEW
Koekelberg,Brussels,HOUSE,HOUSE,399000,residential_sale,4,37,Yes,No,No,Yes,13,Yes,25,134,115,2,No,GOOD
Lontzen,Wallonie,APARTMENT,APARTMENT,388000,residential_sale,2,,None,No,No,Yes,12,No,,103,,,No,None
Villers-la-Ville,Wallonie,HOUSE,HOUSE,310000,residential_sale,3,30,Yes,No,No,Yes,15,Yes,35,100,80,2,No,AS_NEW
Forest,Brussels,APARTMENT,APARTMENT,175000,residential_sale,1,,None,No,No,Yes,12,No,,65,,,No,None
Kraainem,Flanders,HOUSE,HOUSE,1200000,residential_sale,6,25,No,No,No,Yes,,Yes,550,450,873,4,No,GOOD
Etterbeek,Brussels,HOUSE,HOUSE,600000,residential_sale,5,30,No,No,No,Yes,15,Yes,50,190,120,2,No,GOOD
Trooz,Wallonie,HOUSE,HOUSE,199000,residential_sale,3,19,No,No,No,Yes,10,Yes,100,125,328,3,No,AS_NEW
Woluwe-Saint-Lambert,Brussels,HOUSE,HOUSE,845000,residential_sale,4,59,No,No,No,Yes,12,Yes,117,220,210,2,No,AS_NEW
ENAME,Flanders,APARTMENT,APARTMENT,165000,residential_sale,2,,None,No,Yes,No,,No,,79,,,No,None
Trooz,Wallonie,HOUSE,HOUSE,299000,residential_sale,3,21,No,No,No,Yes,20,Yes,400,210,570,2,No,GOOD
Ledeberg,Flanders,HOUSE,HOUSE,569000,residential_sale,3,,None,No,Yes,Yes,25,Yes,700,160,,,No,None
Laeken,Brussels,HOUSE,HOUSE,399000,residential_sale,3,33,Yes,No,No,Yes,4,Yes,64,145,122,2,No,GOOD
Brussels City,Brussels,HOUSE,HOUSE,600000,residential_sale,7,14,No,No,No,Yes,24,Yes,37,220,13,2,No,GOOD
Uccle,Brussels,HOUSE,HOUSE,1190000,residential_sale,5,,None,No,No,Yes,,No,,369,,,No,None
SAINT-GEORGES-SUR-MEUSE,Wallonie,HOUSE,HOUSE,199000,residential_sale,3,40,No,No,Yes,Yes,,Yes,1680,193,1998,4,No,TO_RENOVATE
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,825000,residential_sale,4,35,No,No,No,Yes,20,Yes,210,200,605,4,No,TO_RENOVATE
Oostende,Flanders,APARTMENT,APARTMENT,165000,residential_sale,1,,None,No,Yes,No,,No,,46,,,No,None
Halle,Flanders,HOUSE,HOUSE,549000,residential_sale,3,57,No,No,Yes,No,,Yes,806,230,924,4,No,JUST_RENOVATED
Chaudfontaine,Wallonie,HOUSE,HOUSE,299000,residential_sale,4,43,No,No,No,Yes,33,Yes,600,168,1000,4,No,TO_RENOVATE
Héron,Wallonie,HOUSE,HOUSE,395000,residential_sale,3,29,No,No,Yes,Yes,,Yes,,140,2797,4,No,GOOD
Kraainem,Flanders,HOUSE,HOUSE,599000,residential_sale,3,34,Yes,No,No,Yes,20,Yes,185,124,419,3,No,GOOD
Ixelles,Brussels,HOUSE,HOUSE,1100000,residential_sale,5,,None,No,Yes,Yes,20,No,,235,,,No,None
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,820000,residential_sale,4,45,Yes,No,No,Yes,,No,,202,141,2,No,AS_NEW
Trooz,Wallonie,HOUSE,HOUSE,195000,residential_sale,4,32,No,No,No,No,,Yes,400,125,401,4,No,TO_RENOVATE
Evere,Brussels,APARTMENT,APARTMENT,165000,residential_sale,1,,None,No,No,Yes,10,No,,41,,,No,None
Rixensart,Wallonie,HOUSE,HOUSE,395000,residential_sale,3,44,No,No,No,Yes,20,Yes,290,132,419,3,No,TO_BE_DONE_UP
Antwerpen 1,Flanders,HOUSE,HOUSE,998000,residential_sale,5,,None,No,No,Yes,50,No,,325,,,No,None
Seneffe,Wallonie,HOUSE,HOUSE,298000,residential_sale,3,26,No,No,Yes,Yes,14,Yes,1800,148,2406,3,No,GOOD
Dilbeek,Flanders,HOUSE,HOUSE,595000,residential_sale,5,,None,No,No,Yes,12,Yes,356,307,,,No,None
Jette,Brussels,HOUSE,HOUSE,525000,residential_sale,4,55,Yes,No,Yes,Yes,15,Yes,33,189,120,2,No,JUST_RENOVATED
Martelange,Wallonie,APARTMENT,APARTMENT,159900,residential_sale,2,,None,No,No,No,,Yes,300,76,,,No,None
Villers-Ste-Gertrude,Wallonie,HOUSE,HOUSE,189000,residential_sale,3,,None,No,No,Yes,15,Yes,570,145,,,No,None
Gent,Flanders,HOUSE,HOUSE,799000,residential_sale,4,41,Yes,No,No,Yes,24,Yes,65,186,143,2,No,AS_NEW
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,995000,residential_sale,4,70,No,No,No,Yes,15,Yes,145,220,420,3,No,AS_NEW
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,595000,residential_sale,3,35,No,No,No,Yes,16,No,,145,188,3,No,TO_RENOVATE
Hoegaarden,Flanders,HOUSE,HOUSE,295000,residential_sale,3,17,No,No,No,Yes,30,Yes,100,160,370,3,No,GOOD
Putte,Flanders,HOUSE,HOUSE,510000,residential_sale,3,28,Yes,No,No,Yes,,No,,260,898,4,No,AS_NEW
Auderghem,Brussels,HOUSE,HOUSE,799000,residential_sale,3,20,Yes,No,No,Yes,,Yes,100,150,195,2,No,AS_NEW
Wemmel,Flanders,HOUSE,HOUSE,389000,residential_sale,3,23,No,No,No,Yes,8,Yes,130,145,130,2,No,GOOD
Anderlecht,Brussels,APARTMENT,APARTMENT,159000,residential_sale,2,,None,No,No,Yes,14,No,,73,,,No,None
Olne,Wallonie,HOUSE,HOUSE,189000,residential_sale,2,14,No,No,No,No,,Yes,15,90,200,4,No,TO_BE_DONE_UP
Dilbeek,Flanders,HOUSE,HOUSE,295000,residential_sale,3,23,No,No,No,Yes,,Yes,174,139,174,2,No,TO_RENOVATE
Chaumont-Gistoux,Wallonie,HOUSE,HOUSE,499000,residential_sale,4,40,No,No,No,Yes,40,Yes,1200,185,1332,4,No,TO_BE_DONE_UP
Herzele,Flanders,HOUSE,HOUSE,379000,residential_sale,6,,None,No,Yes,No,,Yes,,289,,,No,None
St-Gilles,Brussels,HOUSE,HOUSE,950000,residential_sale,4,,None,No,No,Yes,15,No,,326,,,No,None
Etterbeek,Brussels,HOUSE,HOUSE,595000,residential_sale,4,32,Yes,No,No,Yes,24,No,,220,65,2,No,GOOD
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,795000,residential_sale,3,,None,No,No,Yes,20,Yes,145,190,,,No,None
Trooz,Wallonie,HOUSE,HOUSE,189000,residential_sale,2,14,No,No,No,No,,Yes,15,90,200,4,No,TO_BE_DONE_UP
Jurbise,Wallonie,APARTMENT,APARTMENT,150000,residential_sale,1,,None,No,No,No,,No,,60,,,No,None
FLÉMALLE,Wallonie,HOUSE,HOUSE,479500,residential_sale,5,,None,No,Yes,Yes,,Yes,,300,,,No,None
Molenbeek-Saint-Jean,Brussels,HOUSE,HOUSE,379000,residential_sale,4,,None,No,No,Yes,,No,,250,,,No,None
Wilrijk,Flanders,HOUSE,HOUSE,785000,residential_sale,5,,None,No,Yes,No,,Yes,381,230,,,No,None
Laeken,Brussels,HOUSE,HOUSE,595000,residential_sale,4,,None,No,No,Yes,15,Yes,350,250,,,No,None
Villers-la-Ville,Wallonie,HOUSE,HOUSE,295000,residential_sale,3,30,Yes,No,No,Yes,15,Yes,15,115,70,2,No,AS_NEW
Trooz,Wallonie,HOUSE,HOUSE,189000,residential_sale,2,,None,No,No,Yes,20,Yes,180,135,,,No,None
Dilbeek,Flanders,HOUSE,HOUSE,479000,residential_sale,3,27,Yes,No,No,Yes,24,No,,176,184,3,No,AS_NEW
Jurbise,Wallonie,APARTMENT,APARTMENT,145000,residential_sale,1,,None,No,No,No,,No,,50,,,No,None
Chaudfontaine,Wallonie,HOUSE,HOUSE,290000,residential_sale,3,30,No,No,No,No,,Yes,700,162,879,4,No,TO_BE_DONE_UP
Dilbeek,Flanders,HOUSE,HOUSE,375000,residential_sale,4,30,No,No,No,Yes,,No,,190,165,2,No,GOOD
Ixelles,Brussels,HOUSE,HOUSE,760000,residential_sale,7,45,Yes,No,No,Yes,15,Yes,45,400,146,2,No,AS_NEW
Leuze-En-Hainaut,Wallonie,HOUSE,HOUSE,185000,residential_sale,3,,None,No,Yes,Yes,,No,,200,,,No,None
Ans,Wallonie,APARTMENT,APARTMENT,144000,residential_sale,2,,None,No,No,No,,No,,69,,,No,None
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,590000,residential_sale,3,26,Yes,No,No,Yes,,Yes,50,130,130,2,No,AS_NEW
Grivegnée,Wallonie,HOUSE,HOUSE,289000,residential_sale,5,,None,No,Yes,Yes,30,No,,190,,,No,None
Wanze,Wallonie,HOUSE,HOUSE,460000,residential_sale,4,45,No,No,Yes,Yes,,Yes,,240,2600,4,No,AS_NEW
Braine-l'Alleud,Wallonie,HOUSE,HOUSE,750000,residential_sale,6,50,No,No,Yes,No,,Yes,900,300,1100,4,No,AS_NEW
Anderlecht,Brussels,HOUSE,HOUSE,375000,residential_sale,3,,None,No,Yes,Yes,,Yes,140,156,,,No,None
Antwerp,Flanders,APARTMENT,APARTMENT,135000,residential_sale,1,16,No,No,Yes,Yes,6,No,,30,,2,No,GOOD
GOZEE,Wallonie,HOUSE,HOUSE,287500,residential_sale,4,38,Yes,No,Yes,Yes,30,Yes,200,199,325,2,No,AS_NEW
TILFF,Wallonie,HOUSE,HOUSE,370000,residential_sale,4,,None,No,Yes,No,,Yes,848,273,,,No,None
Sprimont,Wallonie,HOUSE,HOUSE,180000,residential_sale,3,14,No,No,No,Yes,32,No,,146,124,2,No,GOOD
Gent Gentbrugge,Flanders,HOUSE,HOUSE,450000,residential_sale,5,52,No,No,No,No,,No,,248,210,2,No,TO_RENOVATE
Mechelen,Flanders,HOUSE,HOUSE,179000,residential_sale,2,16,No,No,No,No,,No,,58,32,2,No,TO_RENOVATE
Ronse,Flanders,APARTMENT,APARTMENT,125000,residential_sale,2,24,No,No,Yes,Yes,11,No,,76,,2,No,TO_RENOVATE
Schaerbeek,Brussels,HOUSE,HOUSE,750000,residential_sale,5,34,Yes,No,No,No,,Yes,37,290,118,2,No,AS_NEW
HANEFFE,Wallonie,HOUSE,HOUSE,280000,residential_sale,4,36,No,No,Yes,Yes,,Yes,,150,678,3,No,GOOD
Jodoigne,Wallonie,HOUSE,HOUSE,370000,residential_sale,3,25,Yes,No,No,Yes,15,Yes,630,165,5336,4,No,GOOD
Olne,Wallonie,HOUSE,HOUSE,165000,residential_sale,3,27,No,No,No,Yes,20,Yes,80,140,269,3,No,TO_RENOVATE
Uccle,Brussels,HOUSE,HOUSE,450000,residential_sale,3,,None,No,No,Yes,24,Yes,95,140,,,No,None
Namur,Wallonie,APARTMENT,APARTMENT,119900,residential_sale,1,,None,No,Yes,No,,No,,48,,,No,None
Trooz,Wallonie,HOUSE,HOUSE,279000,residential_sale,3,26,No,No,No,Yes,20,Yes,500,200,773,4,No,AS_NEW
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,450000,residential_sale,3,26,No,No,No,Yes,25,No,,110,97,2,No,GOOD
Gooik,Flanders,HOUSE,HOUSE,369000,residential_sale,3,,None,No,Yes,Yes,,No,,140,,,No,None
Trooz,Wallonie,HOUSE,HOUSE,165000,residential_sale,3,27,No,No,No,Yes,20,Yes,80,140,269,3,No,TO_RENOVATE
Dour,Wallonie,APARTMENT,APARTMENT,105000,residential_sale,1,,None,No,Yes,No,,No,,60,,,No,None
Evere,Brussels,HOUSE,HOUSE,369000,residential_sale,4,,None,No,No,Yes,90,Yes,90,180,,,No,None
Dison,Wallonie,APARTMENT,APARTMENT,79000,residential_sale,2,25,No,No,No,No,,No,,60,,2,No,GOOD
Lubbeek,Flanders,HOUSE,HOUSE,448000,residential_sale,4,46,No,No,No,Yes,,No,,233,1300,4,No,JUST_RENOVATED
Embourg,Wallonie,HOUSE,HOUSE,279000,residential_sale,3,44,No,No,Yes,Yes,15,Yes,253,132,346,3,No,GOOD
Schaerbeek,Brussels,HOUSE,HOUSE,369000,residential_sale,4,,None,No,No,Yes,90,Yes,90,180,,,No,None
SINT-AGATHA-BERCHEM,Brussels,HOUSE,HOUSE,445000,residential_sale,4,37,No,No,Yes,Yes,23,No,,250,320,2,No,TO_BE_DONE_UP
Xhoris,Wallonie,HOUSE,HOUSE,278000,residential_sale,4,,None,No,No,Yes,,No,,275,,,No,None
Héron,Wallonie,HOUSE,HOUSE,439000,residential_sale,4,80,No,No,Yes,Yes,46,Yes,1200,420,1345,4,No,GOOD
Ans,Wallonie,HOUSE,HOUSE,275000,residential_sale,5,26,No,No,No,Yes,70,Yes,400,200,642,3,No,TO_BE_DONE_UP
Lebbeke,Flanders,HOUSE,HOUSE,367000,residential_sale,3,41,No,No,Yes,Yes,,Yes,,160,322,2,No,TO_BE_DONE_UP
Soignies,Wallonie,APARTMENT,APARTMENT,259000,residential_sale,2,34,No,No,Yes,Yes,10,No,,89,,4,No,
MALDEREN,Flanders,HOUSE,HOUSE,269000,residential_sale,3,28,No,No,Yes,Yes,25,Yes,,201,368,3,No,TO_RENOVATE
Herne,Flanders,HOUSE,HOUSE,429000,residential_sale,4,32,No,No,Yes,Yes,,Yes,875,250,1133,3,No,GOOD
Waterloo,Wallonie,HOUSE,HOUSE,365000,residential_sale,4,25,No,No,Yes,Yes,43,Yes,182,152,357,2,No,TO_BE_DONE_UP
Neder-over-Heembeek,Brussels,HOUSE,HOUSE,420000,residential_sale,4,35,No,No,No,Yes,75,Yes,30,245,200,2,No,TO_RENOVATE
La Hulpe,Wallonie,HOUSE,HOUSE,365000,residential_sale,3,18,No,No,No,Yes,,No,,165,629,2,No,GOOD
Ferrières Werbomont,Wallonie,HOUSE,HOUSE,257000,residential_sale,3,16,No,No,No,Yes,70,Yes,30,150,270,3,No,GOOD
MONS-LEZ-LIÈGE,Wallonie,HOUSE,HOUSE,258000,residential_sale,3,31,No,No,Yes,Yes,30,Yes,,158,300,3,No,AS_NEW
Sint-Lievens-Houtem,Flanders,HOUSE,HOUSE,355000,residential_sale,3,32,Yes,No,No,Yes,,No,,141,328,3,No,AS_NEW
CLAVIER-STATION,Wallonie,HOUSE,HOUSE,349500,residential_sale,4,45,No,No,Yes,Yes,,Yes,,160,638,4,No,GOOD
Trooz,Wallonie,HOUSE,HOUSE,349999,residential_sale,4,21,Yes,Yes,No,Yes,25,Yes,800,160,1350,4,Yes,AS_NEW
GENTINNES,Wallonie,HOUSE,HOUSE,389000,residential_sale,4,,None,No,Yes,No,,Yes,,190,,,No,None
Linkebeek,Flanders,HOUSE,HOUSE,545000,residential_sale,3,47,No,No,Yes,Yes,30,Yes,550,169,720,3,No,GOOD
Mortsel,Flanders,APARTMENT,APARTMENT,189000,residential_sale,2,,None,No,Yes,Yes,,No,,89,,,No,None
Essen,Flanders,HOUSE,HOUSE,487500,residential_sale,3,34,No,No,No,No,,No,,172,1681,,No,GOOD
Verviers,Wallonie,APARTMENT,APARTMENT,199000,residential_sale,2,,None,No,Yes,Yes,8,Yes,,108,,,No,None
Lille,Flanders,HOUSE,HOUSE,433871,residential_sale,3,,None,No,Yes,Yes,,Yes,73,158,,,No,None
Lille,Flanders,APARTMENT,APARTMENT,393866,residential_sale,3,,None,No,Yes,Yes,16,No,,144,,,No,None
Stembert,Wallonie,HOUSE,HOUSE,168000,residential_sale,3,19,No,No,Yes,Yes,20,No,,210,0,3,No,TO_RENOVATE
Jambes,Wallonie,APARTMENT,APARTMENT,320000,residential_sale,3,,None,No,No,Yes,,No,,153,,,No,None
Bernissart,Wallonie,HOUSE,HOUSE,130000,residential_sale,3,22,No,No,No,Yes,24,Yes,60,110,542,2,No,TO_BE_DONE_UP
Gent,Flanders,HOUSE,HOUSE,995000,residential_sale,7,127,No,No,No,No,,No,,820,0,,No,AS_NEW
Roosdaal,Flanders,HOUSE,HOUSE,189000,residential_sale,2,16,No,No,No,No,,No,,100,197,3,No,TO_BE_DONE_UP
Linkebeek,Flanders,HOUSE,HOUSE,845000,residential_sale,4,,None,No,Yes,Yes,,No,,200,,,No,None
Sint-Pieters-Leeuw,Flanders,HOUSE,HOUSE,445000,residential_sale,3,,None,No,Yes,Yes,,No,,153,,,No,None
Boechout,Flanders,HOUSE,HOUSE,249000,residential_sale,2,,None,No,No,No,,No,,144,,,No,None
Lillois-Witterzée,Wallonie,APARTMENT,APARTMENT,528000,residential_sale,3,,None,No,Yes,Yes,31,Yes,,116,,,No,None
Watermael-Boitsfort,Brussels,APARTMENT,APARTMENT,210000,residential_sale,1,,None,No,No,No,,No,,56,,,No,None
Oostduinkerke,Flanders,APARTMENT,APARTMENT,245000,residential_sale,1,,None,No,No,Yes,,No,,,,,No,None
TOHOGNE,Wallonie,HOUSE,HOUSE,25000,residential_sale,1,,None,No,No,No,,No,,50,,,No,None
Wilrijk,Flanders,APARTMENT,APARTMENT,225000,residential_sale,2,,None,No,Yes,Yes,4,No,,74,,,No,None
Rupelmonde,Flanders,APARTMENT,APARTMENT,330000,residential_sale,2,,None,No,No,Yes,14,Yes,,97,,,No,None
Watermael-Boitsfort,Brussels,APARTMENT,APARTMENT,215000,residential_sale,1,,None,No,No,Yes,7,No,,56,,,No,None
Ophain-Bois-Seigneur-Isaac,Wallonie,APARTMENT,APARTMENT,525000,residential_sale,3,,None,No,Yes,Yes,31,Yes,,112,,,No,None
