locality,region,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
HARZÉ,Wallonie,HOUSE,HOUSE,125000,residential_sale,2,,None,No,Yes,No,,Yes,179,,,,No,None
Mechelen,Flanders,APARTMENT,APARTMENT,249000,residential_sale,3,,None,No,Yes,No,,No,,110,,,No,None
Kortrijk,Flanders,HOUSE,HOUSE,425000,residential_sale,4,,None,No,Yes,Yes,33,Yes,653,,,,No,None
Diepenbeek,Flanders,HOUSE,HOUSE,295000,residential_sale,3,,None,No,No,Yes,,No,,173,,,No,None
Olmen,Flanders,HOUSE,HOUSE,249000,residential_sale,3,,None,No,Yes,No,,Yes,,240,,,No,None
Blankenberge,Flanders,APARTMENT,APARTMENT,249000,residential_sale,2,,None,No,No,Yes,,No,,68,,,No,None
WOLUWE-SAINT-PIERRE,Brussels,HOUSE,HOUSE,525000,residential_sale,3,27,No,No,Yes,No,,Yes,80,106,206,3,No,JUST_RENOVATED
Aalst,Flanders,HOUSE,HOUSE,259000,residential_sale,2,,None,No,No,Yes,,Yes,,100,,,No,None
Westende,Flanders,APARTMENT,APARTMENT,279000,residential_sale,2,,None,No,No,Yes,,No,,68,,,No,None
Kraainem,Flanders,HOUSE,HOUSE,675000,residential_sale,4,45,No,No,Yes,Yes,10,Yes,115,212,293,3,No,
Flemalle,Wallonie,HOUSE,HOUSE,115000,residential_sale,2,15,No,No,No,No,,Yes,163,,354,3,No,TO_BE_DONE_UP
Wezembeek-Oppem,Flanders,HOUSE,HOUSE,985000,residential_sale,5,60,Yes,No,Yes,Yes,55,Yes,570,320,1297,4,No,JUST_RENOVATED
Waregem,Flanders,HOUSE,HOUSE,320000,residential_sale,3,,None,No,No,No,,No,,168,,,No,None
De Panne,Flanders,APARTMENT,APARTMENT,175000,residential_sale,1,,None,Yes,No,No,,No,,48,,,No,None
Antwerp,Flanders,APARTMENT,APARTMENT,249000,residential_sale,2,,None,No,Yes,Yes,3,No,,92,,,No,None
Berchem,Flanders,APARTMENT,APARTMENT,337000,residential_sale,2,,None,No,Yes,Yes,13,Yes,17,74,,,No,None
Halle,Flanders,APARTMENT,APARTMENT,349000,residential_sale,2,,None,No,Yes,Yes,24,No,,125,,,No,None
Antwerp,Flanders,APARTMENT,APARTMENT,234000,residential_sale,2,,None,No,Yes,Yes,3,No,,92,,,No,None
Kruibeke,Flanders,APARTMENT,APARTMENT,219000,residential_sale,1,,None,No,No,Yes,2,No,,75,,,No,None
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,880000,residential_sale,5,45,Yes,No,No,Yes,28,Yes,102,325,378,3,No,AS_NEW
