locality,postal_code,region,construction_year,energy_class,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Rendeux,6987,Wallonie,,None,HOUSE,APARTMENT_BLOCK,380000,residential_sale,6,,None,0,0,0,,0,,,,,0,None
Houtem,8630,Flanders,,None,HOUSE,HOUSE,175000,residential_sale,3,,None,0,0,1,,1,,140,,,0,None
Assebroek,8310,Flanders,,None,HOUSE,HOUSE,475000,residential_sale,4,,None,0,1,1,,0,,173,,,0,None
Sint-Andries,8200,Flanders,,None,HOUSE,HOUSE,490000,residential_sale,3,,None,0,0,1,,1,183,292,,,0,None
Gembloux,5030,Wallonie,1870,D,HOUSE,HOUSE,300000,residential_sale,3,30,0,0,1,1,30,1,800,152,1191,3,0,GOOD
Zottegem,9620,Flanders,,None,APARTMENT,APARTMENT,185000,residential_sale,1,,None,0,0,0,,0,,73,,,0,None
Menen,8930,Flanders,1935,F,HOUSE,HOUSE,180000,residential_sale,4,30,0,0,0,0,,0,,110,300,,0,
Huy,4500,Wallonie,1954,D,HOUSE,HOUSE,299000,residential_sale,4,35,0,0,1,1,19,1,658,231,893,4,0,GOOD
Seraing,4100,Wallonie,2002,B,HOUSE,HOUSE,299000,residential_sale,3,36,1,0,0,1,30,1,203,137,370,3,0,AS_NEW
VISE,4600,Wallonie,,D,HOUSE,HOUSE,299000,residential_sale,5,32,0,0,1,1,30,1,,171,257,3,0,JUST_RENOVATED
Grimbergen,1853,Flanders,1930,F,HOUSE,HOUSE,299000,residential_sale,2,17,0,0,0,1,20,1,20,110,120,3,0,GOOD
Clavier,4560,Wallonie,,G,HOUSE,HOUSE,295000,residential_sale,4,28,0,0,1,1,,1,750,150,1871,4,0,AS_NEW
Tubize,1480,Wallonie,1933,E,HOUSE,HOUSE,299000,residential_sale,3,30,0,0,0,1,49,1,168,188,266,2,0,TO_BE_DONE_UP
Bouillon - Bellevaux,6830,Wallonie,,F,HOUSE,HOUSE,289000,residential_sale,5,11,0,0,0,1,50,1,1500,221,2339,3,0,GOOD
HAKENDOVER,3300,Flanders,1930,C,HOUSE,HOUSE,295000,residential_sale,4,38,0,0,1,0,,0,,223,874,2,0,GOOD
Beyne-Heusay,4610,Wallonie,1932,E,HOUSE,HOUSE,280000,residential_sale,3,16,0,0,0,1,28,1,140,200,319,2,0,GOOD
GLONS,4690,Wallonie,,D,HOUSE,HOUSE,280000,residential_sale,3,35,0,0,1,0,,0,,155,851,4,0,GOOD
Huy,4500,Wallonie,,None,HOUSE,HOUSE,275000,residential_sale,6,,None,0,1,0,,0,,315,,,0,None
Borgloon,3840,Flanders,,None,HOUSE,HOUSE,269000,residential_sale,3,,None,0,1,1,,0,,213,,,0,None
Lede,9340,Flanders,2002,C,HOUSE,HOUSE,259000,residential_sale,3,32,0,0,0,1,9,0,,125,82,2,0,GOOD
Visé,4600,Wallonie,,F,HOUSE,HOUSE,245000,residential_sale,4,35,0,0,1,1,20,1,74,131,675,3,0,TO_BE_DONE_UP
Huy,4500,Wallonie,,None,HOUSE,APARTMENT_BLOCK,275000,residential_sale,6,,None,0,1,0,,0,,315,,,0,None
Amay,4540,Wallonie,,G,HOUSE,HOUSE,249500,residential_sale,2,17,0,0,1,1,20,1,1337,125,1440,3,0,GOOD
Geer,4250,Wallonie,,None,HOUSE,TOWN_HOUSE,265000,residential_sale,3,,None,0,0,0,,1,900,145,,,0,None
La Louvière Strépy-Bracquegnies,7110,Wallonie,,None,HOUSE,HOUSE,240000,residential_sale,4,,None,0,0,1,100,1,594,152,,,0,None
MONS-LEZ-LIÈGE,4400,Wallonie,1964,F,HOUSE,HOUSE,269000,residential_sale,4,25,0,0,1,0,,1,495,110,601,3,0,GOOD
La Louvière Houdeng-Aimeries,7110,Wallonie,,None,HOUSE,HOUSE,235000,residential_sale,3,,None,0,0,1,,1,75,171,,,0,None
Andenne,5300,Wallonie,2009,F,HOUSE,HOUSE,239000,residential_sale,3,39,0,0,1,1,25,1,,121,671,4,0,TO_BE_DONE_UP
Amay,4540,Wallonie,1977,D,HOUSE,HOUSE,229000,residential_sale,4,30,0,0,1,0,,1,530,215,709,3,0,GOOD
Ougrée,4102,Wallonie,1956,D,HOUSE,APARTMENT_BLOCK,229000,residential_sale,4,16,0,0,1,1,35,0,,205,252,4,0,TO_BE_DONE_UP
Wanze,4520,Wallonie,1965,G,HOUSE,HOUSE,229000,residential_sale,4,12,0,0,1,1,5,1,110,150,400,4,0,GOOD
Merchtem,1785,Flanders,,None,HOUSE,HOUSE,319000,residential_sale,3,,None,0,0,1,,1,,171,,,0,None
Huy,4500,Wallonie,,None,HOUSE,HOUSE,230000,residential_sale,3,,None,0,1,1,,1,,125,,,0,None
Kortrijk,8500,Flanders,,None,APARTMENT,APARTMENT,119000,residential_sale,1,,None,0,0,1,,0,,53,,,0,None
Oostduinkerke,8670,Flanders,,None,APARTMENT,APARTMENT,430000,residential_sale,2,,None,0,0,1,,0,,,,,0,None
Kortrijk,8500,Flanders,,None,HOUSE,HOUSE,269900,residential_sale,1,,None,0,0,0,,0,,,,,0,None
Oostduinkerke,8670,Flanders,,None,APARTMENT,APARTMENT,355000,residential_sale,3,,None,1,0,1,,0,,,,,0,None
Nieuwpoort,8620,Flanders,,None,APARTMENT,APARTMENT,990000,residential_sale,3,,None,0,0,1,,0,,131,,,0,None
Oostende,8400,Flanders,,None,APARTMENT,APARTMENT,159000,residential_sale,1,,None,1,0,0,,0,,50,,,0,None
Boekhoute,9961,Flanders,2023,A,APARTMENT,APARTMENT,339750,residential_sale,3,22,0,0,0,1,16,1,,127,,,0,
Boekhoute,9961,Flanders,2023,A,APARTMENT,APARTMENT,339750,residential_sale,3,29,0,0,0,1,12,1,,131,,,0,
Ronse,9600,Flanders,,None,HOUSE,MANSION,319000,residential_sale,4,,None,0,1,1,,1,,,,,0,None
Chênée,4032,Wallonie,,None,HOUSE,HOUSE,80000,residential_sale,3,,None,0,0,1,,0,,,,,0,None
Seraing,4100,Wallonie,,None,HOUSE,HOUSE,80000,residential_sale,4,,None,0,0,0,,0,,,,,0,None
Hasselt,3500,Flanders,,None,APARTMENT,APARTMENT,449423,residential_sale,3,,None,0,0,1,22,0,,127,,,0,None
