locality,postal_code,region,construction_year,energy_class,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Tienen,3300,Flanders,,None,APARTMENT,GROUND_FLOOR,307500,residential_sale,2,,None,0,0,1,,0,,85,,,0,None
Turnhout,2300,Flanders,,None,HOUSE,HOUSE,249000,residential_sale,2,,None,0,0,1,,0,,112,,,0,None
BRUXELLES,1000,Brussels,,None,APARTMENT,APARTMENT,490000,residential_sale,2,,None,0,1,0,,0,,120,,,0,None
Haacht,3150,Flanders,,None,APARTMENT,APARTMENT,265000,residential_sale,1,,None,0,0,1,30,0,,74,,,0,None
Forest,1060,Brussels,,None,APARTMENT,APARTMENT,375000,residential_sale,3,,None,0,0,1,9,0,,110,,,0,None
Leopoldsburg Heppen,3971,Flanders,1961,D,HOUSE,HOUSE,235000,residential_sale,4,30,0,0,0,1,707,0,,194,0,3,0,GOOD
Wetteren,9230,Flanders,,None,APARTMENT,APARTMENT,250000,residential_sale,2,,None,0,0,0,,0,,80,,,0,None
Lubbeek,3210,Flanders,,None,HOUSE,HOUSE,369000,residential_sale,2,,None,0,0,1,,1,480,168,,,0,None
Leuven Heverlee,3001,Flanders,,None,APARTMENT,PENTHOUSE,735000,residential_sale,3,,None,0,0,1,48,0,,175,,,0,None
Leuven Heverlee,3001,Flanders,,None,HOUSE,HOUSE,570000,residential_sale,2,,None,0,0,1,,0,,169,,,0,None
Wetteren,9230,Flanders,,None,HOUSE,HOUSE,155000,residential_sale,2,,None,0,0,0,,0,,112,,,0,None
Uccle,1180,Brussels,,None,APARTMENT,APARTMENT,600000,residential_sale,4,,None,0,0,1,15,0,,171,,,0,None
Heist-op-den-Berg Itegem,2222,Flanders,,None,APARTMENT,APARTMENT,324000,residential_sale,2,,None,0,0,1,12,0,,116,,,0,None
La Louviere,7100,Wallonie,1900,F,HOUSE,HOUSE,139999,residential_sale,3,49,0,0,0,0,,0,,212,130,2,0,GOOD
Machelen,1830,Flanders,,None,HOUSE,HOUSE,355000,residential_sale,3,,None,0,0,1,12,1,47,121,,,0,None
Heist-op-den-Berg,2220,Flanders,,None,APARTMENT,APARTMENT,318000,residential_sale,2,,None,0,0,1,12,0,,103,,,0,None
Tamines,5060,Wallonie,,None,APARTMENT,APARTMENT,79000,residential_sale,1,,None,0,0,0,,0,,48,,,0,None
Herentals Morkhoven,2200,Flanders,,None,HOUSE,HOUSE,249000,residential_sale,4,,None,0,0,1,,0,,227,,,0,None
Leernes,6142,Wallonie,1826,F,HOUSE,HOUSE,229999,residential_sale,3,32,0,0,0,1,25,1,505,148,620,4,0,GOOD
Charleroi,6000,Wallonie,,None,APARTMENT,APARTMENT,164999,residential_sale,3,,None,1,0,0,,0,,118,,,0,None
Deinze,9800,Flanders,,None,HOUSE,HOUSE,179000,residential_sale,3,,None,0,0,1,20,1,230,103,,,0,None
Schaerbeek,1030,Brussels,,None,HOUSE,APARTMENT_BLOCK,575000,residential_sale,5,,None,0,1,1,5,0,,250,,,0,None
Oudenaarde,9700,Flanders,,None,APARTMENT,APARTMENT,245000,residential_sale,3,,None,0,1,1,,0,,,,,0,None
Haaltert,9450,Flanders,1989,E,APARTMENT,APARTMENT,189000,residential_sale,2,28,0,0,0,1,5,0,,70,,,0,TO_BE_DONE_UP
Schoten,2900,Flanders,1966,E,HOUSE,TOWN_HOUSE,425000,residential_sale,3,18,1,0,0,1,20,1,168,130,231,2,0,JUST_RENOVATED
Anderlecht,1070,Brussels,,None,APARTMENT,FLAT_STUDIO,159000,residential_sale,0,,None,0,0,1,2,0,,42,,,0,None
Anderlecht,1070,Brussels,,None,APARTMENT,GROUND_FLOOR,525000,residential_sale,4,,None,0,0,1,40,1,350,155,,,0,None
Jette,1090,Brussels,,F,HOUSE,APARTMENT_BLOCK,715000,residential_sale,6,21,0,0,0,0,,0,,210,0,2,0,
Schoten,2900,Flanders,,None,APARTMENT,GROUND_FLOOR,225000,residential_sale,1,,None,0,0,1,30,1,30,80,,,0,None
Carnières,7141,Wallonie,,C,HOUSE,HOUSE,115000,residential_sale,2,20,0,0,0,1,50,1,350,70,380,2,0,GOOD
Spa,4900,Wallonie,,None,APARTMENT,GROUND_FLOOR,74999,residential_sale,1,,None,0,0,0,,0,,50,,,0,None
Walhain,1457,Wallonie,1973,C,HOUSE,HOUSE,680000,residential_sale,4,80,1,0,0,1,80,0,,270,1075,3,0,JUST_RENOVATED
Anderlecht,1070,Brussels,1949,G,HOUSE,APARTMENT_BLOCK,540000,residential_sale,2,17,0,0,0,1,,0,,280,139,2,0,
Aarschot,3201,Flanders,,None,HOUSE,HOUSE,675000,residential_sale,4,,None,0,0,1,,0,,450,,,0,None
Antwerp,2600,Flanders,,C,HOUSE,HOUSE,465000,residential_sale,4,30,1,0,0,1,,0,,,0,2,0,AS_NEW
Antwerpen Wilrijk,2610,Flanders,,None,APARTMENT,APARTMENT,230000,residential_sale,2,,None,0,0,1,,0,,75,,,0,None
Courcelles,6180,Wallonie,,F,HOUSE,HOUSE,195000,residential_sale,3,20,0,0,0,1,6,1,100,172,0,2,0,GOOD
La Louvière,7100,Wallonie,2015,B,HOUSE,HOUSE,240000,residential_sale,3,20,1,0,0,1,,1,130,125,230,2,0,AS_NEW
Montigny-le-Tilleul,6110,Wallonie,,G,HOUSE,HOUSE,104900,residential_sale,1,18,0,0,0,1,19,1,209,80,0,2,0,TO_RENOVATE
Lokeren,9160,Flanders,2006,B,APARTMENT,PENTHOUSE,675000,residential_sale,3,84,1,0,0,1,45,0,,209,,2,0,AS_NEW
Lummen,3560,Flanders,,None,HOUSE,HOUSE,413752,residential_sale,3,,None,0,0,1,17,0,,223,,,0,None
Marchin,4570,Wallonie,,G,HOUSE,HOUSE,135000,residential_sale,2,38,0,0,0,1,,1,585,124,745,3,0,TO_RENOVATE
Eghezee,5310,Wallonie,,None,HOUSE,HOUSE,400000,residential_sale,4,,None,0,0,1,,0,,185,,,0,None
Lummen,3560,Flanders,,None,HOUSE,HOUSE,416640,residential_sale,3,,None,0,0,1,17,0,,223,,,0,None
Huy,4500,Wallonie,,G,HOUSE,HOUSE,135000,residential_sale,2,38,0,0,0,1,,1,585,124,745,3,0,TO_RENOVATE
Edegem,2650,Flanders,1959,C,APARTMENT,DUPLEX,375000,residential_sale,3,52,0,0,0,0,,0,,181,,,0,GOOD
Edegem,2650,Flanders,1900,B,HOUSE,MANSION,499000,residential_sale,4,52,1,0,0,1,,0,,218,180,2,0,AS_NEW
SINT-AMANDSBERG,9040,Flanders,,None,HOUSE,MANSION,595000,residential_sale,5,,None,0,1,1,,0,,384,,,0,None
Antwerpen Wilrijk,2610,Flanders,,None,APARTMENT,APARTMENT,220000,residential_sale,2,,None,0,0,1,3,0,,75,,,0,None
Berendrecht,2040,Flanders,,None,HOUSE,HOUSE,199000,residential_sale,2,,None,0,0,1,,0,,120,,,0,None
Aalst,9300,Flanders,1997,B,APARTMENT,GROUND_FLOOR,218000,residential_sale,1,29,0,0,0,1,,0,,72,,,0,GOOD
Aalst Nieuwerkerken,9320,Flanders,,None,HOUSE,HOUSE,314000,residential_sale,3,,None,0,0,1,46,1,350,130,,,0,None
Heusden-Zolder,3550,Flanders,,None,APARTMENT,APARTMENT,195000,residential_sale,1,,None,0,0,1,,0,,94,,,0,None
Gent Mariakerke,9030,Flanders,,None,HOUSE,HOUSE,329000,residential_sale,2,,None,0,0,1,15,1,300,130,,,0,None
Spa,4900,Wallonie,,None,HOUSE,APARTMENT_BLOCK,65000,residential_sale,1,,None,0,0,0,,0,,50,,,0,None
Heusden-Zolder,3550,Flanders,,None,HOUSE,HOUSE,399000,residential_sale,5,,None,0,0,0,,0,,325,,,0,None
Spa,4900,Wallonie,,None,APARTMENT,GROUND_FLOOR,75000,residential_sale,1,,None,0,0,0,,0,,50,,,0,None
Wavre,1300,Wallonie,,None,APARTMENT,APARTMENT,299000,residential_sale,1,,None,0,0,1,18,0,,82,,,0,None
Bekkevoort,3460,Flanders,,None,HOUSE,HOUSE,149000,residential_sale,2,,None,0,0,0,,0,,137,,,0,None
Binche Bray,7130,Wallonie,,None,HOUSE,HOUSE,336980,residential_sale,4,,None,0,0,0,,0,,156,,,0,None
Spa,4900,Wallonie,,None,APARTMENT,APARTMENT,85000,residential_sale,1,,None,0,0,0,,0,,60,,,0,None
Spa,4900,Wallonie,,None,APARTMENT,DUPLEX,85000,residential_sale,3,,None,0,0,0,,0,,90,,,0,None
Diest,3290,Flanders,,None,APARTMENT,DUPLEX,245000,residential_sale,2,,None,0,0,1,25,0,,104,,,0,None
Lobbes,6540,Wallonie,,None,HOUSE,HOUSE,79999,residential_sale,3,,None,0,0,0,,1,500,200,,,0,None
Gent,9000,Flanders,1932,A,HOUSE,HOUSE,588000,residential_sale,4,26,1,0,0,1,10,1,29,140,112,2,0,JUST_RENOVATED
Wavre,1300,Wallonie,,None,APARTMENT,APARTMENT,299000,residential_sale,1,,None,0,0,1,19,0,,82,,,0,None
Gesves-Faulx-les-Tombes,5340,Wallonie,,None,HOUSE,HOUSE,165000,residential_sale,3,,None,0,0,0,,0,,,,,0,None
Bruxelles,1000,Brussels,,None,APARTMENT,APARTMENT,279000,residential_sale,1,,None,0,0,1,8,0,,74,,,0,None
Bruxelles,1000,Brussels,,None,APARTMENT,FLAT_STUDIO,275000,residential_sale,0,,None,0,0,1,6,0,,47,,,0,None
Kieldrecht,9130,Flanders,1971,D,HOUSE,HOUSE,325000,residential_sale,2,45,1,0,0,1,40,0,,200,102,3,0,GOOD
Liege,4000,Wallonie,,None,APARTMENT,APARTMENT,175000,residential_sale,1,,None,0,0,0,,0,,60,,,0,None
Gesves,5340,Wallonie,,None,HOUSE,HOUSE,165000,residential_sale,3,,None,0,0,0,,0,,,,,0,None
Saint-Ghislain,7333,Wallonie,,None,APARTMENT,APARTMENT,240000,residential_sale,2,,None,0,0,1,30,0,,97,,,0,None
Kortrijk,8500,Flanders,1968,C,APARTMENT,APARTMENT,184500,residential_sale,2,36,0,0,0,1,2,0,,86,,2,0,JUST_RENOVATED
Saint-Ghislain,7333,Wallonie,,None,APARTMENT,APARTMENT,244000,residential_sale,2,,None,0,0,1,7,0,,115,,,0,None
Geraardsbergen,9500,Flanders,,None,HOUSE,HOUSE,199000,residential_sale,5,,None,0,0,1,25,0,,190,,,0,None
Saint-Ghislain,7333,Wallonie,,None,APARTMENT,APARTMENT,220000,residential_sale,2,,None,0,0,1,4,0,,89,,,0,None
Molenbeek-Saint-Jean,1080,Brussels,,None,APARTMENT,APARTMENT,249000,residential_sale,2,,None,0,0,0,,0,,87,,,0,None
Saint-Ghislain,7333,Wallonie,,None,APARTMENT,APARTMENT,215000,residential_sale,2,,None,0,0,1,4,0,,89,,,0,None
Charleroi Marcinelle,6001,Wallonie,,None,HOUSE,HOUSE,159000,residential_sale,3,,None,0,0,0,,0,,,,,0,None
Gilly,6060,Wallonie,,None,HOUSE,HOUSE,70000,residential_sale,2,,None,0,0,0,,0,,110,,,0,None
Aalst,9320,Flanders,,None,HOUSE,HOUSE,318000,residential_sale,4,,None,0,0,1,,0,,185,,,0,None
Alleur,4432,Wallonie,,None,APARTMENT,APARTMENT,249000,residential_sale,2,,None,0,0,1,10,0,,80,,,0,None
Alleur,4432,Wallonie,,None,APARTMENT,PENTHOUSE,249000,residential_sale,2,,None,0,0,1,6,0,,72,,,0,None
Dilbeek,1700,Flanders,,None,APARTMENT,SERVICE_FLAT,320000,residential_sale,2,,None,0,0,1,25,0,,128,,,0,None
Gilly,6060,Wallonie,,None,APARTMENT,APARTMENT,89000,residential_sale,1,,None,0,0,1,,0,,73,,,0,None
Saint-Ghislain,7333,Wallonie,,None,APARTMENT,APARTMENT,183000,residential_sale,1,,None,0,0,1,4,0,,73,,,0,None
Ixelles,1050,Brussels,,None,APARTMENT,APARTMENT,625000,residential_sale,2,,None,0,0,1,9,0,,120,,,0,None
Ixelles,1050,Brussels,,None,APARTMENT,APARTMENT,475000,residential_sale,3,,None,0,0,1,100,0,,100,,,0,None
Walcourt,5650,Wallonie,,None,HOUSE,HOUSE,119000,residential_sale,3,,None,0,0,1,,1,5,83,,,0,None
Oudenaarde,9700,Flanders,,None,APARTMENT,SERVICE_FLAT,198000,residential_sale,1,,None,0,0,1,,0,,56,,,0,None
Ronse,9600,Flanders,,None,HOUSE,HOUSE,399000,residential_sale,5,,None,0,0,1,,0,,199,,,0,None
Oudenaarde,9700,Flanders,,B,HOUSE,HOUSE,249000,residential_sale,3,36,1,0,0,1,,1,20,130,96,2,0,JUST_RENOVATED
WOLUWÉ-SAINT-LAMBERT,1200,Brussels,,None,APARTMENT,APARTMENT,350000,residential_sale,2,,None,0,1,1,7,0,,98,,,0,None
Deinze,9850,Flanders,,None,HOUSE,HOUSE,335000,residential_sale,4,,None,0,0,1,,0,,,,,0,None
Schaerbeek,1030,Brussels,,None,APARTMENT,GROUND_FLOOR,335000,residential_sale,3,,None,0,1,1,,0,,114,,,0,None
Terhagen,2840,Flanders,,None,HOUSE,HOUSE,359000,residential_sale,2,,None,0,0,1,,0,,110,,,0,None
Celles,7760,Wallonie,,B,APARTMENT,APARTMENT,305000,residential_sale,3,38,0,0,1,1,8,1,25,128,,2,0,JUST_RENOVATED
Schoten,2900,Flanders,,None,HOUSE,HOUSE,365000,residential_sale,3,,None,0,0,0,,1,65,140,,,0,None
Gavere,9890,Flanders,2021,A,HOUSE,HOUSE,353500,residential_sale,3,22,1,0,0,1,9,1,15,171,195,2,0,AS_NEW
Bertogne,6687,Wallonie,,None,HOUSE,HOUSE,249000,residential_sale,3,,None,0,0,1,,0,,130,,,0,None
Gavere,9890,Flanders,2021,A,HOUSE,HOUSE,358500,residential_sale,3,25,1,0,0,1,9,1,15,174,198,3,0,AS_NEW
Kortrijk,8500,Flanders,,None,APARTMENT,APARTMENT,299500,residential_sale,2,,None,0,1,1,,0,,100,,,0,None
Overijse,3090,Flanders,,None,HOUSE,HOUSE,475000,residential_sale,3,,None,0,0,1,26,1,338,165,,,0,None
Molenbeek-Saint-Jean,1080,Brussels,,None,APARTMENT,DUPLEX,530000,residential_sale,2,,None,0,0,1,40,0,,156,,,0,None
VINKT,9800,Flanders,,None,APARTMENT,APARTMENT,267000,residential_sale,1,,None,0,1,1,15,1,,90,,,0,None
Brussels,1000,Brussels,,None,APARTMENT,DUPLEX,530000,residential_sale,2,,None,0,0,1,40,0,,156,,,0,None
Amay,4540,Wallonie,,None,HOUSE,HOUSE,645000,residential_sale,8,,None,0,0,1,50,1,600,366,,,0,None
Nivelles,1400,Wallonie,,None,APARTMENT,APARTMENT,220000,residential_sale,2,,None,0,1,1,9,0,,84,,,0,None
Sint-Lambrechts-Woluwe,1200,Brussels,,None,APARTMENT,APARTMENT,635000,residential_sale,3,,None,0,0,1,20,0,,142,,,0,None
Watermael-Boitsfort,1170,Brussels,1920,G,HOUSE,HOUSE,499500,residential_sale,3,26,0,0,0,1,20,1,50,138,100,2,0,GOOD
Tessenderlo,3980,Flanders,,None,APARTMENT,APARTMENT,209000,residential_sale,2,,None,0,1,0,,0,,102,,,0,None
Brussels City,1000,Brussels,,None,APARTMENT,APARTMENT,412000,residential_sale,2,,None,1,0,1,7,0,,91,,,0,None
SINT-MARTENS-LENNIK,1750,Flanders,,None,APARTMENT,APARTMENT,149000,residential_sale,1,,None,0,1,1,,0,,79,,,0,None
Uccle,1180,Brussels,,None,APARTMENT,APARTMENT,420000,residential_sale,2,,None,0,0,1,5,0,,111,,,0,None
Ixelles,1050,Brussels,2023,C,APARTMENT,APARTMENT,350000,residential_sale,1,40,1,0,0,1,15,0,,63,,2,0,JUST_RENOVATED
Gent,9000,Flanders,1932,D,HOUSE,HOUSE,335000,residential_sale,3,21,0,0,0,0,,1,8,154,55,2,0,TO_BE_DONE_UP
Woluwe-Saint-Lambert,1200,Brussels,,None,APARTMENT,APARTMENT,279000,residential_sale,2,,None,0,0,0,,0,,90,,,0,None
Buizingen,1501,Flanders,1977,C,HOUSE,HOUSE,590000,residential_sale,3,41,0,0,1,1,,0,,175,562,4,0,GOOD
Halle,1500,Flanders,1977,C,HOUSE,HOUSE,590000,residential_sale,3,41,0,0,1,1,,0,,175,562,4,0,GOOD
Bruxelles,1000,Brussels,,None,APARTMENT,FLAT_STUDIO,115000,residential_sale,0,,None,0,0,0,,0,,33,,,0,None
Nassogne,6950,Wallonie,,None,HOUSE,APARTMENT_BLOCK,325000,residential_sale,4,,None,0,0,0,,0,,235,,,0,None
Uccle,1180,Brussels,,None,APARTMENT,APARTMENT,450000,residential_sale,3,,None,0,1,1,16,0,,116,,,0,None
Knokke,8300,Flanders,2002,C,APARTMENT,APARTMENT,565000,residential_sale,2,25,1,0,0,1,16,0,,72,,,0,AS_NEW
Brussels City,1000,Brussels,,None,APARTMENT,APARTMENT,255000,residential_sale,2,,None,1,0,0,,0,,80,,,0,None
Sint-Lievens-Houtem,9520,Flanders,2009,B,APARTMENT,APARTMENT,229000,residential_sale,2,14,1,0,0,1,,0,,74,,3,0,GOOD
Sint-Jans-Molenbeek,1080,Brussels,,None,APARTMENT,DUPLEX,265000,residential_sale,2,,None,0,0,0,,0,,106,,,0,None
Uccle,1180,Brussels,2022,B,APARTMENT,APARTMENT,595000,residential_sale,2,38,1,0,0,1,8,0,,97,,,0,AS_NEW
Watermael-Boitsfort,1170,Brussels,1976,B,APARTMENT,FLAT_STUDIO,195000,residential_sale,1,31,0,0,0,1,2,0,,51,,2,1,GOOD
LA LOUVIÈRE,7100,Wallonie,,None,APARTMENT,APARTMENT,258978,residential_sale,3,,None,0,1,1,16,0,,113,,,0,None
Gent Desteldonk,9042,Flanders,2018,A,HOUSE,HOUSE,645000,residential_sale,4,26,0,0,0,1,30,1,117,217,280,3,0,AS_NEW
Dilbeek,1700,Flanders,1932,E,HOUSE,HOUSE,489000,residential_sale,4,35,0,0,1,0,,0,,220,2000,3,0,TO_BE_DONE_UP
Saint-hubert,6870,Wallonie,1850,F,HOUSE,HOUSE,99000,residential_sale,2,22,0,0,0,1,,0,,81,65,2,0,TO_BE_DONE_UP
Auderghem,1160,Brussels,1939,G,HOUSE,HOUSE,795000,residential_sale,4,35,0,0,0,1,15,1,150,150,222,2,0,JUST_RENOVATED
Zaventem,1930,Flanders,,None,HOUSE,HOUSE,990000,residential_sale,7,,None,0,1,1,70,1,800,490,,,0,None
Gavere,9890,Flanders,2021,A,HOUSE,HOUSE,363500,residential_sale,3,24,1,0,0,1,9,1,15,176,200,2,0,AS_NEW
Gavere,9890,Flanders,2021,A,HOUSE,HOUSE,358500,residential_sale,3,22,1,0,0,1,9,1,15,174,198,2,0,AS_NEW
Ronse,9600,Flanders,1930,C,HOUSE,HOUSE,299500,residential_sale,3,30,1,0,0,1,24,1,100,152,240,3,0,AS_NEW
Brugge,8000,Flanders,1850,B,APARTMENT,APARTMENT,435000,residential_sale,3,38,1,0,0,0,,0,,130,,3,0,AS_NEW
Mechelen,2800,Flanders,,None,HOUSE,MANSION,850000,residential_sale,7,,None,0,0,1,50,1,1060,370,,,0,None
Ronse,9600,Flanders,,None,HOUSE,HOUSE,275000,residential_sale,3,,None,0,1,1,,0,,110,,,0,None
Chênée,4032,Wallonie,,None,HOUSE,APARTMENT_BLOCK,695000,residential_sale,4,,None,0,1,1,,0,,262,,,0,None
Bruxelles,1000,Brussels,1902,E,APARTMENT,APARTMENT,790000,residential_sale,3,67,1,0,0,1,27,0,,190,,2,0,AS_NEW
Wezembeek-Oppem,1970,Flanders,1960,E,HOUSE,HOUSE,349000,residential_sale,3,20,0,0,0,1,28,1,60,80,170,3,0,TO_BE_DONE_UP
Berloz,4257,Wallonie,1899,D,HOUSE,HOUSE,300000,residential_sale,3,58,0,0,0,1,30,1,430,190,659,2,0,GOOD
Saint-Gilles,1060,Brussels,,None,APARTMENT,PENTHOUSE,199000,residential_sale,1,,None,1,0,0,,0,,38,,,0,None
Ottignies,1340,Wallonie,,None,APARTMENT,APARTMENT,265000,residential_sale,2,,None,0,0,1,42,0,,85,,,0,None
Noiseux,5377,Wallonie,,None,HOUSE,HOUSE,259000,residential_sale,3,,None,0,0,1,61,1,431,180,,,0,None
Gent,9000,Flanders,1995,B,APARTMENT,APARTMENT,254000,residential_sale,1,25,0,0,1,1,4,0,,53,,2,0,GOOD
Lubbeek,3210,Flanders,,None,HOUSE,HOUSE,329000,residential_sale,2,,None,0,0,1,20,1,500,138,,,0,None
Ronse,9600,Flanders,1948,B,HOUSE,HOUSE,249000,residential_sale,4,14,0,0,0,1,25,1,85,169,190,2,0,AS_NEW
Knokke-Heist,8300,Flanders,,None,APARTMENT,APARTMENT,945000,residential_sale,2,,None,0,0,1,4,0,,76,,,0,None
Knokke-Heist,8300,Flanders,,None,APARTMENT,APARTMENT,1495000,residential_sale,3,,None,0,0,1,16,0,,106,,,0,None
Poperinge,8970,Flanders,,None,APARTMENT,APARTMENT,230000,residential_sale,2,,None,0,0,0,,0,,107,,,0,None
Hemiksem,2620,Flanders,,D,HOUSE,HOUSE,319000,residential_sale,4,3584,1,0,0,1,12,0,,130,230,2,0,GOOD
Geel,2440,Flanders,,None,APARTMENT,SERVICE_FLAT,289000,residential_sale,1,,None,0,1,1,8,1,,71,,,0,None
Tienen,3300,Flanders,1899,F,HOUSE,HOUSE,149000,residential_sale,2,29,0,0,0,1,40,1,100,105,254,2,0,TO_RENOVATE
Ixelles,1050,Brussels,,None,APARTMENT,APARTMENT,415000,residential_sale,2,,None,0,0,0,,0,,90,,,0,None
Grivegnée,4030,Wallonie,,None,APARTMENT,FLAT_STUDIO,62500,residential_sale,1,,None,0,0,0,,0,,25,,,0,None
FLEMALLE,4400,Wallonie,,D,HOUSE,HOUSE,220000,residential_sale,3,16,0,0,0,1,16,0,,150,0,3,0,TO_BE_DONE_UP
Antwerp,2018,Flanders,,None,APARTMENT,FLAT_STUDIO,134000,residential_sale,0,,None,0,0,0,,0,,48,,,0,None
Diest,3290,Flanders,,D,HOUSE,HOUSE,199000,residential_sale,3,16,1,0,0,1,,0,,155,195,3,0,GOOD
Bierbeek,3360,Flanders,,B,APARTMENT,APARTMENT,289000,residential_sale,2,35,0,0,0,1,,0,,80,,,0,GOOD
Mechelen,2800,Flanders,2023,,HOUSE,HOUSE,575000,residential_sale,3,58,0,0,1,1,123,0,,189,0,2,0,JUST_RENOVATED
Erbisoeul,7050,Wallonie,,None,HOUSE,HOUSE,265000,residential_sale,3,,None,0,0,0,,1,1113,133,,,0,None
Evere,1140,Brussels,,None,APARTMENT,APARTMENT,395000,residential_sale,2,,None,0,0,1,,0,,90,,,0,None
Herentals,2200,Flanders,,None,HOUSE,HOUSE,199000,residential_sale,2,,None,0,1,1,,1,,116,,,0,None
Limelette,1342,Wallonie,,None,HOUSE,HOUSE,850000,residential_sale,4,,None,0,0,1,16,1,1592,190,,,1,None
Ottignies-Louvain-la-Neuve,1340,Wallonie,,None,HOUSE,HOUSE,850000,residential_sale,4,,None,0,0,1,16,1,1592,190,,,1,None
Nivelles,1400,Wallonie,,None,APARTMENT,GROUND_FLOOR,175000,residential_sale,2,,None,0,0,0,,0,,70,,,0,None
Knokke-Heist,8300,Flanders,,None,APARTMENT,DUPLEX,3595000,residential_sale,3,,None,0,0,1,19,0,,199,,,0,None
Chaudfontaine,4050,Wallonie,,None,HOUSE,HOUSE,119900,residential_sale,2,,None,0,0,1,10,1,250,60,,,0,None
Aalst,9310,Flanders,1963,C,HOUSE,HOUSE,508000,residential_sale,4,26,1,0,0,1,,0,,220,828,3,0,GOOD
Haacht,3150,Flanders,,None,HOUSE,HOUSE,595000,residential_sale,4,,None,0,0,0,,0,,345,,,0,None
Turnhout,2300,Flanders,,None,APARTMENT,APARTMENT,220000,residential_sale,2,,None,0,0,1,12,0,,90,,,0,None
Knokke-Heist,8300,Flanders,,None,APARTMENT,PENTHOUSE,5995000,residential_sale,3,,None,0,0,1,25,0,,258,,,0,None
Maldegem,9990,Flanders,,None,HOUSE,HOUSE,449000,residential_sale,4,,None,0,0,0,,0,,,,,0,None
Sint-Pieters-Leeuw,1600,Flanders,,None,HOUSE,HOUSE,495000,residential_sale,6,,None,0,0,1,,0,,253,,,0,None
Seraing,4100,Wallonie,,E,HOUSE,HOUSE,169000,residential_sale,4,10,0,0,0,1,40,1,50,112,190,2,0,GOOD
Berchem-Sainte-Agathe,1080,Brussels,,None,APARTMENT,APARTMENT,280000,residential_sale,2,,None,0,0,0,,0,,130,,,0,None
Peruwelz,7600,Wallonie,,None,HOUSE,HOUSE,13000,annuity_monthly_amount,3,,None,0,0,0,,0,,,,,0,None
Zulte,9870,Flanders,1990,D,HOUSE,HOUSE,515000,residential_sale,3,29,1,0,0,1,98,1,1000,235,1278,4,0,GOOD
Halle,1500,Flanders,,None,HOUSE,HOUSE,309000,residential_sale,0,,None,0,0,1,,0,,134,,,0,None
Seraing,4101,Wallonie,,D,HOUSE,HOUSE,199000,residential_sale,4,11,0,0,0,1,50,1,100,100,295,3,0,GOOD
Ixelles,1050,Brussels,,None,APARTMENT,DUPLEX,545000,residential_sale,3,,None,0,0,1,60,0,,130,,,0,None
Kortrijk,8500,Flanders,,None,HOUSE,HOUSE,235000,residential_sale,4,,None,0,0,1,15,1,100,139,,,0,None
Brasschaat,2930,Flanders,1975,D,HOUSE,TOWN_HOUSE,398000,residential_sale,2,35,1,0,1,0,,1,,150,238,4,0,GOOD
Knokke,8300,Flanders,,None,APARTMENT,APARTMENT,689000,residential_sale,2,,None,0,0,1,25,1,37,100,,,0,None
Zwevegem,8550,Flanders,,None,HOUSE,HOUSE,199000,residential_sale,3,,None,0,0,0,,0,,160,,,0,None
Seraing Jemeppesur-Meuse,4101,Wallonie,,F,HOUSE,HOUSE,150000,residential_sale,6,15,0,0,0,1,20,1,15,190,255,3,0,TO_BE_DONE_UP
Kontich,2550,Flanders,,None,HOUSE,HOUSE,485000,residential_sale,3,,None,0,1,0,,1,90,215,,,0,None
Sint-Pieters-Leeuw,1601,Flanders,,None,HOUSE,HOUSE,495000,residential_sale,6,,None,0,0,1,,0,,253,,,0,None
Kortrijk,8500,Flanders,,None,APARTMENT,APARTMENT,225000,residential_sale,3,,None,0,0,1,10,0,,122,,,0,None
Kapellen,2950,Flanders,,C,HOUSE,HOUSE,299000,residential_sale,2,40,0,0,0,1,18,0,,239,0,4,0,GOOD
Beez,5000,Wallonie,1885,E,HOUSE,HOUSE,475000,residential_sale,5,45,0,0,0,0,,1,391,220,391,4,0,AS_NEW
Herent,3020,Flanders,,None,APARTMENT,APARTMENT,385000,residential_sale,3,,None,0,0,1,9,0,,109,,,1,None
Kortrijk,8500,Flanders,,None,APARTMENT,APARTMENT,189000,residential_sale,2,,None,0,0,1,2,0,,90,,,0,None
Dworp,1653,Flanders,,None,HOUSE,HOUSE,449000,residential_sale,3,,None,0,0,0,,0,,187,,,0,None
Ixelles,1050,Brussels,,None,APARTMENT,APARTMENT,275000,residential_sale,2,,None,0,0,1,2,0,,90,,,0,None
Woluwe-Saint-Lambert,1200,Brussels,1922,G,HOUSE,HOUSE,524000,residential_sale,3,47,1,0,0,1,20,1,170,115,370,3,0,GOOD
HEUSDEN,3550,Flanders,,None,HOUSE,HOUSE,209000,residential_sale,3,,None,0,1,1,,0,,150,,,0,None
Lokeren,9160,Flanders,,F,HOUSE,HOUSE,170000,residential_sale,2,14,0,0,0,1,,1,60,100,125,2,0,TO_BE_DONE_UP
Dworp,1653,Flanders,,,HOUSE,HOUSE,629000,residential_sale,4,45,0,0,1,1,50,0,,225,470,3,0,GOOD
