locality,postal_code,region,property_type,subtype_property,price,contruction_year,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Berlare,9290,Flanders,HOUSE,HOUSE,205000,,residential_sale,3,,None,0,0,0,,0,,116,,,0,None
Roosdaal,1760,Flanders,HOUSE,HOUSE,780000,,residential_sale,5,,None,0,0,1,,1,,303,,,0,None
Geel,2440,Flanders,HOUSE,HOUSE,249000,,residential_sale,4,,None,0,0,1,,1,,168,,,0,None
Brugge,8000,Flanders,HOUSE,HOUSE,299000,,residential_sale,3,,None,0,0,1,,1,,151,,,0,None
Crisnée,4367,Wallonie,HOUSE,HOUSE,149000,1900,residential_sale,2,18,0,0,0,1,16,0,,120,90,3,0,TO_RENOVATE
Ronse,9600,Flanders,HOUSE,HOUSE,149000,1925,residential_sale,2,12,0,0,0,1,10,1,50,155,150,2,0,TO_RENOVATE
Liege,4000,Wallonie,HOUSE,HOUSE,149000,1933,residential_sale,4,24,0,0,0,1,,0,,123,150,3,0,TO_BE_DONE_UP
Liege,4000,Wallonie,APARTMENT,APARTMENT,149000,1975,residential_sale,1,67,0,0,0,0,,0,,106,,,0,JUST_RENOVATED
Herstal Vottem,4041,Wallonie,HOUSE,HOUSE,149000,1964,residential_sale,2,16,0,0,0,0,,1,304,114,422,4,0,TO_RENOVATE
Braine-le-Chateau,1440,Wallonie,HOUSE,HOUSE,145000,1900,residential_sale,2,16,0,0,0,1,9,0,,64,43,3,0,TO_BE_DONE_UP
BLAASVELD,2830,Flanders,HOUSE,HOUSE,149000,1909,residential_sale,3,34,0,0,1,1,13,0,,116,77,2,0,TO_RENOVATE
Woluwe-Saint-Lambert,1200,Brussels,APARTMENT,APARTMENT,145000,,residential_sale,1,,None,0,0,1,7,0,,35,,,0,None
Liege,4000,Wallonie,HOUSE,HOUSE,139000,1900,residential_sale,4,48,0,0,0,1,65,1,199,164,317,3,0,TO_RENOVATE
Schaerbeek,1030,Brussels,APARTMENT,APARTMENT,137500,,residential_sale,1,,None,0,1,1,2,0,,28,,,0,None
Ronse,9600,Flanders,HOUSE,HOUSE,139000,1930,residential_sale,3,20,0,0,0,0,,1,230,145,300,2,0,TO_BE_DONE_UP
Antwerp,2060,Flanders,APARTMENT,APARTMENT,142500,,residential_sale,1,,None,0,1,1,6,0,,30,,,0,None
Anderlecht,1070,Brussels,APARTMENT,APARTMENT,144720,,residential_sale,1,,None,0,0,0,,0,,63,,,0,None
Seraing,4100,Wallonie,HOUSE,HOUSE,135000,1919,residential_sale,2,28,0,0,0,1,17,1,40,87,120,2,0,TO_BE_DONE_UP
GLONS,4690,Wallonie,APARTMENT,APARTMENT,138000,,residential_sale,2,,None,0,1,1,2,0,,72,,,0,None
Liege,4000,Wallonie,APARTMENT,APARTMENT,139000,,residential_sale,1,,None,0,0,0,,0,,60,,,0,None
Liège,4020,Wallonie,APARTMENT,APARTMENT,105000,,residential_sale,1,,None,0,1,0,,0,,37,,,0,None
Seraing,4100,Wallonie,HOUSE,HOUSE,125000,1935,residential_sale,2,18,0,0,0,0,,0,,61,50,2,0,GOOD
Schaerbeek,1030,Brussels,APARTMENT,APARTMENT,137500,,residential_sale,1,,None,0,1,0,,0,,30,,,0,None
Blankenberge,8370,Flanders,APARTMENT,APARTMENT,125000,,residential_sale,1,,None,1,0,1,3,0,,43,,,0,None
Liege,4020,Wallonie,APARTMENT,APARTMENT,129000,1850,residential_sale,1,24,0,0,0,0,,0,,59,,2,0,GOOD
Antwerp,2018,Flanders,APARTMENT,APARTMENT,298000,,residential_sale,2,,None,0,0,0,,1,,102,,,0,None
Opoeteren,3680,Flanders,HOUSE,HOUSE,239000,,residential_sale,3,,None,0,0,0,,1,,102,,,0,None
Destelbergen,9070,Flanders,HOUSE,HOUSE,295000,,residential_sale,3,,None,0,0,0,,0,,,,,0,None
Kortenberg,3070,Flanders,HOUSE,HOUSE,379000,,residential_sale,5,,None,0,0,0,,0,,184,,,0,None
Lendelede,8860,Flanders,HOUSE,HOUSE,449000,,residential_sale,4,34,0,0,0,1,25,1,,150,536,4,0,AS_NEW
