locality,postal_code,region,property_type,subtype_property,price,contruction_year,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Ixelles,1050,Brussels,APARTMENT,APARTMENT,350000,2023,residential_sale,1,40,1,0,0,1,15,0,,63,,2,0,JUST_RENOVATED
Knokke-Heist,8300,Flanders,APARTMENT,APARTMENT,460000,2002,residential_sale,2,25,1,0,0,1,3,0,,72,,2,0,TO_BE_DONE_UP
Gavere,9890,Flanders,APARTMENT,APARTMENT,351000,2021,residential_sale,3,29,1,0,0,1,10,0,,112,,4,0,AS_NEW
Brussels City,1000,Brussels,APARTMENT,APARTMENT,412000,,residential_sale,2,,None,1,0,1,7,0,,91,,,0,None
Gavere,9890,Flanders,APARTMENT,APARTMENT,323500,2021,residential_sale,2,31,1,0,0,1,10,0,,97,,4,0,AS_NEW
Gavere,9890,Flanders,APARTMENT,APARTMENT,311000,2021,residential_sale,2,31,1,0,0,1,10,0,,97,,4,0,AS_NEW
Sint-Pieters-Woluwe,1150,Brussels,APARTMENT,APARTMENT,285000,,residential_sale,1,,None,0,0,0,,0,,70,,,0,None
Gent,9000,Flanders,HOUSE,HOUSE,335000,1932,residential_sale,3,21,0,0,0,0,,1,8,154,55,2,0,TO_BE_DONE_UP
Brussels City,1000,Brussels,APARTMENT,APARTMENT,255000,,residential_sale,2,,None,1,0,0,,0,,80,,,0,None
Berchem-Sainte-Agathe,1082,Brussels,APARTMENT,APARTMENT,340000,,residential_sale,3,,None,0,1,1,3,0,,127,,,0,None
Gavere,9890,Flanders,APARTMENT,APARTMENT,265000,2021,residential_sale,1,19,1,0,0,1,11,0,,76,,4,0,AS_NEW
Etterbeek,1040,Brussels,APARTMENT,APARTMENT,195000,,residential_sale,1,,None,0,0,0,,0,,41,,,0,None
Gavere,9890,Flanders,APARTMENT,APARTMENT,260000,2021,residential_sale,1,19,1,0,0,1,11,0,,76,,4,0,AS_NEW
Knokke-Heist,8300,Flanders,APARTMENT,APARTMENT,594000,1977,residential_sale,3,35,0,1,0,1,6,0,,78,,2,0,AS_NEW
Deinze,9800,Flanders,APARTMENT,APARTMENT,395000,2022,residential_sale,2,34,1,0,0,1,12,0,,99,,2,0,AS_NEW
JEMEPPE,4101,Wallonie,APARTMENT,APARTMENT,150000,,residential_sale,2,,None,0,1,1,10,0,,70,,,0,None
Lommel,3920,Flanders,HOUSE,HOUSE,297000,,residential_sale,3,,None,0,0,0,,0,,145,,,0,None
Berlaar,2590,Flanders,HOUSE,HOUSE,449000,,residential_sale,4,,None,0,1,0,,1,,234,,,0,None
Oostduinkerke,8670,Flanders,APARTMENT,APARTMENT,245000,,residential_sale,1,,None,0,0,0,,0,,,,,0,None
Namur Saint-Servais,5002,Wallonie,HOUSE,HOUSE,269000,,residential_sale,3,,None,0,0,1,15,1,785,150,,,0,None
Destelbergen,9070,Flanders,APARTMENT,APARTMENT,607600,,residential_sale,3,,None,0,0,0,,1,1,149,,,0,None
Ougrée,4102,Wallonie,HOUSE,HOUSE,180000,1968,residential_sale,2,20,0,0,0,0,,1,107,75,172,2,0,
Kluisbergen,9690,Flanders,HOUSE,HOUSE,373280,,residential_sale,3,,None,0,0,0,,0,,191,,,0,None
Gedinne,5575,Wallonie,HOUSE,HOUSE,288000,,residential_sale,3,,None,0,0,0,,1,,155,,,0,None
Herk-de-Stad,3540,Flanders,APARTMENT,APARTMENT,245000,,residential_sale,2,,None,0,0,0,,0,,90,,,0,None
SAINT-GEORGES-SUR-MEUSE,4470,,HOUSE,HOUSE,165000,,residential_sale,3,19,0,0,1,1,30,1,150,110,785,3,0,GOOD
Braine-le-Chateau,1440,Wallonie,HOUSE,HOUSE,450000,,residential_sale,3,,None,0,0,1,,1,,200,,,0,None
Dilbeek,1700,Flanders,HOUSE,HOUSE,629000,,residential_sale,3,,None,0,0,0,,0,,153,,,0,None
Jodoigne,1370,Wallonie,HOUSE,HOUSE,345000,,residential_sale,4,44,0,0,1,1,,1,,180,1100,4,0,TO_BE_DONE_UP
Nandrin,4550,Wallonie,HOUSE,HOUSE,299000,1949,residential_sale,3,35,0,0,0,0,,1,2000,,2251,4,0,
Knokke-Heist,8300,Flanders,APARTMENT,APARTMENT,269000,,residential_sale,1,,None,0,0,0,,0,,82,,,0,None
Lasne,1380,Wallonie,HOUSE,HOUSE,597000,1999,residential_sale,2,22,0,0,1,1,23,0,,170,550,2,0,AS_NEW
Merksem,2170,Flanders,APARTMENT,APARTMENT,162500,,residential_sale,2,,None,0,0,1,1,0,,70,,,0,None
Deinze,9800,Flanders,APARTMENT,APARTMENT,375000,2023,residential_sale,2,15,1,0,0,1,28,1,,85,,4,0,AS_NEW
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,289000,,residential_sale,2,,None,0,0,1,2,0,,80,,,0,None
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,285000,1924,residential_sale,2,33,0,0,0,1,7,0,,86,,2,0,GOOD
Sint-Andries,8200,Flanders,HOUSE,HOUSE,995000,,residential_sale,5,,None,0,0,1,,0,,279,,,0,None
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,275000,1924,residential_sale,2,33,0,0,0,1,7,0,,86,,2,0,GOOD
Wetteren,9230,Flanders,APARTMENT,APARTMENT,223000,,residential_sale,2,,None,0,1,1,,0,,110,,,0,None
Schaerbeek,1030,Brussels,APARTMENT,APARTMENT,210000,,residential_sale,1,,None,0,0,0,,0,,50,,,0,None
Laarne,9270,Flanders,APARTMENT,APARTMENT,189000,,residential_sale,1,,None,0,1,0,,0,,65,,,0,None
Ixelles,1050,Brussels,APARTMENT,APARTMENT,4000000,,residential_sale,4,,None,0,0,1,253,0,,444,,,0,None
Bruxelles,1050,Brussels,APARTMENT,APARTMENT,499000,,residential_sale,1,,None,0,0,1,9,0,,81,,,0,None
Waterloo,1410,Wallonie,APARTMENT,APARTMENT,265000,1971,residential_sale,2,27,0,0,1,1,16,0,,80,,2,0,TO_RESTORE
Zaventem,1930,Flanders,APARTMENT,APARTMENT,299000,1970,residential_sale,2,30,0,0,0,1,6,0,,78,,,0,AS_NEW
Ixelles,1050,Brussels,APARTMENT,APARTMENT,1410000,,residential_sale,3,,None,0,0,1,23,0,,184,,,0,None
Ronse,9600,Flanders,HOUSE,HOUSE,265000,,residential_sale,4,,None,0,0,1,20,1,82,168,,,0,None
SCLAYN,5300,Wallonie,HOUSE,HOUSE,249000,1963,residential_sale,2,32,0,0,1,1,12,1,550,120,675,4,0,AS_NEW
Sint-Lambrechts-Woluwe,1200,Brussels,APARTMENT,APARTMENT,540000,,residential_sale,3,,None,0,0,1,10,0,,120,,,0,None
Herstal,4040,Wallonie,HOUSE,HOUSE,164000,1899,residential_sale,4,25,0,0,0,1,80,0,,167,90,3,0,GOOD
Forest,1190,Brussels,APARTMENT,APARTMENT,525000,,residential_sale,2,,None,0,0,1,1,1,1,131,,,0,None
Nevele Merendree,9850,Flanders,HOUSE,HOUSE,460000,,residential_sale,4,,None,0,0,1,25,1,110,165,,,0,None
Auderghem,1160,Brussels,HOUSE,HOUSE,799000,1949,residential_sale,3,20,1,0,0,1,,1,100,150,195,2,0,AS_NEW
Uccle,1180,Brussels,APARTMENT,APARTMENT,275000,,residential_sale,2,,None,0,0,1,1,0,,90,,,0,None
Dilbeek,1702,Flanders,APARTMENT,APARTMENT,332000,,residential_sale,3,,None,0,0,1,,0,,111,,,0,None
La Hulpe,1310,Wallonie,HOUSE,HOUSE,375000,1920,residential_sale,2,20,0,0,0,1,6,1,75,75,181,3,0,GOOD
Merchtem,1785,Flanders,HOUSE,HOUSE,345000,,residential_sale,3,,None,0,0,1,,0,,131,,,0,None
Hoegaarden,3320,Flanders,HOUSE,HOUSE,268500,1973,residential_sale,3,17,0,0,0,1,30,1,100,160,370,3,0,GOOD
Braine-l'Alleud,1420,Wallonie,APARTMENT,APARTMENT,335000,,residential_sale,2,,None,0,0,1,7,0,,103,,,0,None
Ronse,9600,Flanders,HOUSE,HOUSE,299000,2002,residential_sale,4,41,1,0,0,1,30,1,83,200,207,2,0,GOOD
Musson,6750,Wallonie,HOUSE,HOUSE,279000,2008,residential_sale,4,30,0,0,1,1,17,1,,128,185,3,0,TO_RENOVATE
Esen,8600,Flanders,HOUSE,HOUSE,149500,,residential_sale,4,,None,0,0,0,,1,162,,,,0,None
Veurne,8630,Flanders,HOUSE,HOUSE,209500,,residential_sale,2,,None,0,0,0,,0,,142,,,0,None
Mol,2400,Flanders,HOUSE,HOUSE,325000,,residential_sale,3,,None,0,0,0,,1,450,199,,,0,None
Rixensart,1330,Wallonie,APARTMENT,APARTMENT,200000,,residential_sale,2,,None,0,0,1,3,0,,86,,,0,None
Blankenberge,8370,Flanders,APARTMENT,APARTMENT,260000,,residential_sale,2,,None,0,0,0,,0,,57,,,0,None
Ixelles,1050,Brussels,HOUSE,HOUSE,995000,1930,residential_sale,3,29,0,0,0,1,,0,,200,165,2,0,GOOD
Zoutleeuw,3440,Flanders,HOUSE,HOUSE,175000,,residential_sale,4,,None,0,0,1,24,1,416,126,,,0,None
Neeroeteren,3680,Flanders,HOUSE,HOUSE,335000,,residential_sale,3,,None,0,0,0,,0,,264,,,0,None
Lauwe,8930,Flanders,HOUSE,HOUSE,315000,,residential_sale,3,,None,0,0,1,,0,,138,,,0,None
Eernegem,8480,Flanders,HOUSE,HOUSE,229000,,residential_sale,2,,None,0,0,0,,0,,,,,0,None
Bruxelles  1,1000,Brussels,HOUSE,HOUSE,799000,,residential_sale,6,30,0,0,1,1,20,1,30,208,50,2,0,
Gullegem,8560,Flanders,HOUSE,HOUSE,149000,,residential_sale,3,,None,0,0,1,,0,,160,,,0,None
Grace-Hollogne,4460,Wallonie,HOUSE,HOUSE,179000,,residential_sale,2,,None,0,0,0,,1,265,94,,,0,None
Dadizele,8890,Flanders,HOUSE,HOUSE,335000,1991,residential_sale,3,30,0,0,0,1,35,1,200,147,382,3,0,AS_NEW
Menen,8930,Flanders,HOUSE,HOUSE,185000,,residential_sale,4,,None,0,0,0,,0,,297,,,0,None
Jalhay,4845,Wallonie,HOUSE,HOUSE,432372,,residential_sale,4,,None,0,0,1,,0,,210,,,0,None
Waregem,8790,Flanders,APARTMENT,APARTMENT,285000,,residential_sale,2,,None,0,0,1,46,0,,117,,,0,None
Jalhay,4845,Wallonie,HOUSE,HOUSE,435419,,residential_sale,4,,None,0,0,1,,0,,205,,,0,None
Ottignies-Louvain-la-Neuve,1340,Wallonie,HOUSE,HOUSE,299000,,residential_sale,4,33,0,0,0,1,,0,,149,551,4,0,TO_BE_DONE_UP
Chiny,6810,Wallonie,HOUSE,HOUSE,80000,,residential_sale,3,,None,0,0,0,,0,,,,,0,None
Forest,1190,Brussels,HOUSE,HOUSE,545000,1904,residential_sale,4,23,0,0,0,1,45,0,,254,260,2,0,TO_BE_DONE_UP
Menen,8930,Flanders,APARTMENT,APARTMENT,204750,,residential_sale,2,,None,0,0,1,8,1,12,83,,,0,None
Menen,8930,Flanders,APARTMENT,APARTMENT,204750,,residential_sale,2,,None,0,0,1,8,1,12,83,,,0,None
Melle,9090,Flanders,HOUSE,HOUSE,225000,,residential_sale,2,,None,0,0,0,,0,,111,,,0,None
Andenne,5300,Wallonie,HOUSE,HOUSE,335000,,residential_sale,4,,None,0,1,1,,1,,209,,,0,None
Uccle,1180,Brussels,APARTMENT,APARTMENT,320000,,residential_sale,2,,None,0,0,1,8,0,,88,,,0,None
Gent,9000,Flanders,APARTMENT,APARTMENT,299000,,residential_sale,3,,None,0,1,1,1,0,,112,,,0,None
Gent,9000,Flanders,APARTMENT,APARTMENT,235000,,residential_sale,1,,None,1,1,1,5,1,,41,,,0,None
Liedekerke,1770,Flanders,HOUSE,HOUSE,349000,2004,residential_sale,3,32,1,0,0,1,25,1,150,180,256,2,0,AS_NEW
Seraing,4100,Wallonie,HOUSE,HOUSE,149000,1918,residential_sale,2,14,0,0,0,1,,1,25,105,105,2,0,GOOD
Neder-over-Heembeek,1120,Brussels,APARTMENT,APARTMENT,249000,,residential_sale,2,,None,0,0,1,6,0,,82,,,0,None
Woluwe-Saint-Pierre,1150,Brussels,APARTMENT,APARTMENT,329000,,residential_sale,2,,None,0,0,0,,0,,95,,,0,None
Saint-Gilles,1060,Brussels,APARTMENT,APARTMENT,239000,,residential_sale,1,,None,0,0,0,,0,,50,,,0,None
Brussels City,1000,Brussels,APARTMENT,APARTMENT,985000,,residential_sale,4,,None,0,0,0,,0,,221,,,0,None
Leuven,3010,Flanders,APARTMENT,APARTMENT,299000,,residential_sale,2,,None,0,1,1,30,0,,103,,,0,None
Hannut,4280,Wallonie,APARTMENT,APARTMENT,135000,1990,residential_sale,1,20,0,0,0,0,,0,,50,,2,0,GOOD
Sint-Lambrechts-Woluwe,1200,Brussels,APARTMENT,APARTMENT,540000,,residential_sale,2,,None,0,0,1,10,0,,120,,,0,None
Vilvoorde,1800,Flanders,HOUSE,HOUSE,460000,1930,residential_sale,5,37,0,0,0,1,20,1,110,250,220,2,0,TO_BE_DONE_UP
Sint-Andries,8200,Flanders,HOUSE,HOUSE,625000,,residential_sale,3,,None,0,0,0,,1,400,185,,,0,None
Etterbeek,1040,Brussels,APARTMENT,APARTMENT,835000,,residential_sale,2,,None,1,1,1,8,0,,146,,,0,None
Lembeek,1502,Flanders,HOUSE,HOUSE,385000,,residential_sale,3,,None,0,0,0,,0,,158,,,0,None
Hasselt,3500,Flanders,HOUSE,HOUSE,459000,,residential_sale,4,,None,0,0,0,,0,,212,,,0,None
Hulshout,2235,Flanders,HOUSE,HOUSE,395000,,residential_sale,3,,None,0,0,0,,0,,177,,,0,None
Gent,9000,Flanders,APARTMENT,APARTMENT,395000,,residential_sale,2,,None,0,0,1,,0,,102,,,0,None
Maldegem,9990,Flanders,HOUSE,HOUSE,289000,,residential_sale,3,,None,0,0,0,,0,,123,,,0,None
Vosselaar,2350,Flanders,HOUSE,HOUSE,325000,,residential_sale,3,,None,0,0,1,20,1,750,150,,,0,None
Olen,2250,Flanders,HOUSE,HOUSE,348000,,residential_sale,3,,None,0,0,0,,0,,175,,,0,None
Libin,6890,Wallonie,HOUSE,HOUSE,165000,1920,residential_sale,7,35,0,0,0,0,,0,,197,114,3,0,TO_BE_DONE_UP
TOURNAI,7500,Wallonie,HOUSE,HOUSE,365000,,residential_sale,4,25,0,0,0,1,10,0,,282,10,2,0,
Lichtaart,2460,Flanders,HOUSE,HOUSE,359000,,residential_sale,3,,None,0,0,1,25,1,800,160,,,0,None
Uccle,1180,Brussels,APARTMENT,APARTMENT,215000,,residential_sale,1,,None,0,0,0,,0,,43,,,0,None
Lichtaart,2460,Flanders,HOUSE,HOUSE,315000,,residential_sale,4,25,0,0,0,1,,1,600,215,710,2,0,
Lebbeke,9280,Flanders,HOUSE,HOUSE,219000,,residential_sale,2,,None,0,0,1,,0,,,,,0,None
Schoten,2900,Flanders,HOUSE,HOUSE,549000,1992,residential_sale,3,67,1,0,0,0,,0,,319,717,4,0,GOOD
Kortrijk,8500,Flanders,APARTMENT,APARTMENT,119000,,residential_sale,1,,None,0,0,0,,0,,47,,,0,None
Bornem,2880,Flanders,HOUSE,HOUSE,529000,1988,residential_sale,6,45,1,0,0,1,,0,,215,604,4,0,
Buggenhout,9255,Flanders,HOUSE,HOUSE,595000,2020,residential_sale,3,30,1,0,0,1,,0,,177,350,3,0,AS_NEW
Huy,4500,Wallonie,APARTMENT,APARTMENT,195000,,residential_sale,2,,None,0,0,1,7,0,,81,,,0,None
Antwerpen Hoboken,2660,Flanders,APARTMENT,APARTMENT,239000,1974,residential_sale,2,40,1,0,0,1,3,0,,74,,2,0,JUST_RENOVATED
Kortrijk,8500,Flanders,APARTMENT,APARTMENT,139000,,residential_sale,1,,None,0,0,0,,0,,50,,,0,None
Kortrijk,8500,Flanders,APARTMENT,APARTMENT,185000,,residential_sale,3,,None,0,0,0,,0,,142,,,0,None
Tervuren,3080,Flanders,HOUSE,HOUSE,990000,1974,residential_sale,5,54,0,0,1,1,28,1,,295,1257,4,0,TO_BE_DONE_UP
MEUX,5081,Wallonie,HOUSE,HOUSE,519000,2009,residential_sale,4,55,0,0,1,1,30,1,555,236,853,4,0,GOOD
Brugge,8200,Flanders,APARTMENT,APARTMENT,320000,,residential_sale,3,,None,0,1,0,,0,,117,,,0,None
Strombeek-Bever,1853,Flanders,APARTMENT,APARTMENT,249000,,residential_sale,2,,None,0,0,1,,0,,78,,,0,None
Lierde,9570,Flanders,HOUSE,HOUSE,357000,1965,residential_sale,3,32,0,0,0,1,,0,,210,3049,4,0,TO_BE_DONE_UP
Bornem,2880,Flanders,HOUSE,HOUSE,379000,1960,residential_sale,3,26,1,0,0,1,,1,80,119,208,3,0,AS_NEW
Sint-Servaasveld (Grimbergen),1850,Flanders,HOUSE,HOUSE,795000,,residential_sale,3,,None,0,0,0,,0,,288,,,0,None
Geraardsbergen,9500,Flanders,HOUSE,HOUSE,148000,1930,residential_sale,4,20,0,0,0,1,20,1,100,165,191,2,0,TO_RENOVATE
ROCOURT,4000,Wallonie,HOUSE,HOUSE,299000,,residential_sale,5,,None,0,1,0,,0,,200,,,0,None
Engis,4480,Wallonie,APARTMENT,APARTMENT,145000,,residential_sale,1,,None,0,0,0,,0,,65,,,0,None
Zottegem,9620,Flanders,HOUSE,HOUSE,249000,,residential_sale,4,15,0,0,0,1,,1,,160,460,,0,GOOD
Neuville-en-Condroz,4121,Wallonie,HOUSE,HOUSE,409000,,residential_sale,2,60,0,0,1,0,,0,,175,3498,4,0,TO_BE_DONE_UP
Dave,5100,Wallonie,HOUSE,HOUSE,595000,1995,residential_sale,5,60,0,0,0,1,50,1,1100,200,2113,4,1,GOOD
Assebroek,8310,Flanders,HOUSE,HOUSE,349000,1966,residential_sale,3,32,0,0,1,1,25,1,400,180,516,4,0,TO_RENOVATE
Oudenaarde,9700,Flanders,HOUSE,HOUSE,365000,1962,residential_sale,3,32,1,0,0,1,35,1,39,168,202,2,0,GOOD
Olsene,9870,Flanders,HOUSE,HOUSE,549000,,residential_sale,4,,None,0,0,0,,0,,264,,,1,None
Begijnendijk,3130,Flanders,HOUSE,HOUSE,499000,,residential_sale,6,,None,0,0,1,,0,,243,,,0,None
Manage Bellecourt,7170,Wallonie,HOUSE,HOUSE,310000,,residential_sale,3,26,0,0,0,1,38,1,195,98,273,2,0,AS_NEW
Deurne,2100,Flanders,APARTMENT,APARTMENT,285000,1930,residential_sale,1,40,0,0,1,1,6,0,,103,,2,0,JUST_RENOVATED
Kortrijk,8500,Flanders,APARTMENT,APARTMENT,428000,,residential_sale,5,,None,0,0,0,,0,,239,,,0,None
Brussels City,1000,Brussels,APARTMENT,APARTMENT,285000,,residential_sale,2,,None,1,1,1,17,0,,75,,,0,None
Ixelles,1050,Brussels,APARTMENT,APARTMENT,348000,1953,residential_sale,1,38,1,0,0,0,,0,,83,,,0,TO_BE_DONE_UP
Wortegem-Petegem,9790,Flanders,HOUSE,HOUSE,274000,1943,residential_sale,4,11,1,0,0,1,25,1,180,145,270,2,0,GOOD
Leuven,3000,Flanders,HOUSE,HOUSE,348000,1874,residential_sale,3,14,1,0,0,1,6,0,,116,55,2,0,GOOD
Boutersem,3370,Flanders,HOUSE,HOUSE,395000,,residential_sale,3,,None,0,0,0,,1,2340,187,,,0,None
Borgerhout,2140,Flanders,APARTMENT,APARTMENT,274000,1962,residential_sale,2,31,0,0,1,1,4,1,34,78,,2,0,JUST_RENOVATED
Deurne,2100,Flanders,APARTMENT,APARTMENT,274000,1962,residential_sale,2,31,0,0,1,1,4,1,34,78,,2,0,JUST_RENOVATED
Zaventem,1932,Flanders,APARTMENT,APARTMENT,260000,,residential_sale,2,,None,0,0,0,,0,,89,,,1,None
Uccle,1180,Brussels,APARTMENT,APARTMENT,265000,,residential_sale,1,,None,0,1,1,4,0,,60,,,0,None
Ixelles,1050,Brussels,APARTMENT,APARTMENT,545000,2023,residential_sale,2,40,1,0,0,0,,0,,109,,2,0,JUST_RENOVATED
Ronse,9600,Flanders,APARTMENT,APARTMENT,187500,,residential_sale,1,,None,0,1,1,,0,,73,,,0,None
Genappe,1470,Wallonie,HOUSE,HOUSE,235000,1920,residential_sale,4,15,0,0,0,0,,1,272,142,302,2,0,TO_BE_DONE_UP
Liedekerke,1770,Flanders,HOUSE,HOUSE,447000,2008,residential_sale,3,36,1,0,0,1,,0,,178,487,2,0,AS_NEW
Brussels City,1000,Brussels,APARTMENT,APARTMENT,255000,,residential_sale,2,,None,1,1,1,10,0,,67,,,0,None
Dilbeek,1702,Flanders,HOUSE,HOUSE,435000,1964,residential_sale,3,22,0,0,0,1,,0,,192,629,4,0,TO_RENOVATE
Antwerp,2060,Flanders,HOUSE,HOUSE,239000,1941,residential_sale,5,19,0,0,1,1,5,0,,150,56,2,0,TO_BE_DONE_UP
Brussels City,1000,Brussels,APARTMENT,APARTMENT,237500,,residential_sale,1,,None,1,1,1,3,0,,54,,,0,None
Welkenraedt,4841,Wallonie,HOUSE,HOUSE,235000,1850,residential_sale,5,12,0,0,0,0,,1,339,230,432,3,0,GOOD
Ottignies-Louvain-la-Neuve Louvain-la-Neuve,1348,Wallonie,APARTMENT,APARTMENT,465000,,residential_sale,2,,None,0,0,1,8,1,80,130,,,0,None
Oosterzele,9860,Flanders,HOUSE,HOUSE,449000,1970,residential_sale,3,42,0,0,0,1,16,1,1396,171,1789,4,0,GOOD
Ottignies-Louvain-la-Neuve Louvain-la-Neuve,1348,Wallonie,APARTMENT,APARTMENT,374000,,residential_sale,2,,None,0,0,1,8,1,80,150,,,0,None
Ixelles,1050,Brussels,APARTMENT,APARTMENT,1537000,,residential_sale,2,,None,0,0,1,91,0,,160,,,0,None
Uccle,1180,Brussels,APARTMENT,APARTMENT,399000,,residential_sale,3,,None,0,0,1,9,0,,120,,,0,None
Antwerpen,2000,Flanders,APARTMENT,APARTMENT,565000,,residential_sale,2,,None,0,1,1,25,0,,158,,,0,None
Laeken,1020,Brussels,APARTMENT,APARTMENT,199000,,residential_sale,2,,None,0,0,1,5,0,,73,,,0,None
Uccle,1180,Brussels,APARTMENT,APARTMENT,525000,,residential_sale,2,,None,0,0,1,8,0,,141,,,0,None
Brussels City,1000,Brussels,APARTMENT,APARTMENT,225000,2000,residential_sale,1,21,0,1,1,1,2,0,,38,,2,0,GOOD
Ixelles,1050,Brussels,APARTMENT,APARTMENT,950000,,residential_sale,3,,None,0,1,1,22,0,,190,,,0,None
Kortemark,8610,Flanders,HOUSE,HOUSE,349000,,residential_sale,3,,None,0,0,0,,0,,,,,0,None
Roeselare,8800,Flanders,HOUSE,HOUSE,503000,,residential_sale,4,,None,0,0,0,,0,,,,,0,None
Wilrijk,2610,Flanders,HOUSE,HOUSE,339000,,residential_sale,3,,None,0,0,0,,1,36,111,,,0,None
Rotem,3650,Flanders,HOUSE,HOUSE,320000,,residential_sale,3,,None,0,0,0,,0,,223,,,0,None
Rekkem,8930,Flanders,HOUSE,HOUSE,235000,,residential_sale,2,,None,0,0,0,,1,75,146,,,0,None
Brasschaat,2930,Flanders,HOUSE,HOUSE,745000,,residential_sale,6,,None,0,0,0,,0,,,,,0,None
Blankenberge,8370,Flanders,APARTMENT,APARTMENT,245000,,residential_sale,1,,None,0,1,1,,0,,60,,,0,None
Blankenberge,8370,Flanders,APARTMENT,APARTMENT,256500,2022,residential_sale,1,30,0,0,1,1,6,0,,70,,2,0,
Lanaken,3620,Flanders,APARTMENT,APARTMENT,229000,,residential_sale,3,,None,0,1,0,,0,,100,,,0,None
Liège,4000,Wallonie,APARTMENT,APARTMENT,158000,,residential_sale,1,,None,0,1,1,5,0,,55,,,0,None
Ardooie,8850,Flanders,HOUSE,HOUSE,398000,,residential_sale,3,,None,0,0,0,,0,,,,,0,None
Forest,1190,Brussels,APARTMENT,APARTMENT,435000,,residential_sale,2,,None,0,1,1,5,0,,114,,,0,None
Antwerp,2018,Flanders,APARTMENT,APARTMENT,225000,,residential_sale,1,23,0,0,1,0,,0,,44,,2,0,GOOD
MARCQ,7850,Wallonie,HOUSE,HOUSE,230000,1981,residential_sale,3,31,0,0,1,1,10,1,80,110,213,3,0,TO_BE_DONE_UP
Leuven,3000,Flanders,APARTMENT,APARTMENT,1250000,,residential_sale,3,,None,0,0,1,38,0,,168,,,0,None
Brussels City,1000,Brussels,APARTMENT,APARTMENT,199000,,residential_sale,1,,None,0,1,0,,0,,50,,,0,None
SINAAI,9112,Flanders,HOUSE,HOUSE,349000,,residential_sale,3,,None,0,1,0,,0,,198,,,0,None
Herselt (Herselt),2230,Flanders,HOUSE,HOUSE,377600,,residential_sale,3,,None,0,0,1,20,1,54,159,,,0,None
Uccle,1180,Brussels,HOUSE,HOUSE,375000,1918,residential_sale,4,27,0,0,1,1,21,1,170,130,270,3,0,GOOD
Aywaille,4920,Wallonie,HOUSE,HOUSE,189000,,residential_sale,2,28,0,0,0,0,,0,,110,363,4,0,
Lierde,9570,Flanders,HOUSE,HOUSE,449000,,residential_sale,3,,None,0,0,0,,0,,165,,,0,None
Battice,4651,Wallonie,HOUSE,HOUSE,895000,,residential_sale,8,50,0,0,0,0,,0,,250,7232,3,0,
Namur,5004,Wallonie,HOUSE,HOUSE,449000,,residential_sale,2,45,0,0,1,0,,0,,83,748,3,0,TO_BE_DONE_UP
Uccle,1180,Brussels,APARTMENT,APARTMENT,430000,,residential_sale,2,,None,1,0,1,25,0,,93,,,0,None
Grez-Doiceau,1390,Wallonie,HOUSE,HOUSE,2300000,,residential_sale,8,,None,0,1,0,,1,,850,,,0,None
Berchem,2600,Flanders,APARTMENT,APARTMENT,499000,,residential_sale,4,,None,0,1,1,9,0,,175,,,0,None
Braine-l'Alleud,1420,Wallonie,HOUSE,HOUSE,390000,,residential_sale,3,,None,0,1,1,,0,,171,,,0,None
Tubize,1480,Wallonie,HOUSE,HOUSE,319000,,residential_sale,4,50,0,0,1,1,20,1,125,300,434,2,0,TO_RENOVATE
Woluwe-Saint-Lambert,1200,Brussels,APARTMENT,APARTMENT,345000,,residential_sale,2,,None,0,0,0,,0,,95,,,0,None
Antwerp,2060,Flanders,HOUSE,HOUSE,349000,1976,residential_sale,3,36,0,0,1,1,9,1,23,181,122,2,0,GOOD
Ixelles,1050,Brussels,APARTMENT,APARTMENT,349000,,residential_sale,1,,None,0,1,1,10,0,,98,,,0,None
Wavre,1300,Wallonie,HOUSE,HOUSE,495000,,residential_sale,5,,None,0,0,0,,0,,200,,,0,None
Wasmuel,7390,Wallonie,HOUSE,HOUSE,450000,2001,residential_sale,3,27,0,0,0,1,70,0,,470,3000,4,0,GOOD
Bekkevoort,3460,Flanders,APARTMENT,APARTMENT,225000,,residential_sale,2,,None,0,0,1,10,0,,96,,,0,None
Uccle,1180,Brussels,HOUSE,HOUSE,795000,,residential_sale,4,65,0,0,0,1,70,0,,280,0,2,0,
Waarschoot,9950,Flanders,HOUSE,HOUSE,575000,,residential_sale,5,,None,0,0,0,,0,,,,,0,None
Kapellen,2950,Flanders,HOUSE,HOUSE,345000,,residential_sale,3,,None,0,0,1,,0,,110,,,0,None
Vaux-sous-Chèvremont,4051,Wallonie,HOUSE,HOUSE,179000,,residential_sale,2,,None,0,1,0,,0,,157,,,0,None
Willebroek,2830,Flanders,APARTMENT,APARTMENT,195000,,residential_sale,1,,None,0,0,1,,0,,66,,,0,None
TILFF,4130,Wallonie,APARTMENT,APARTMENT,220000,,residential_sale,2,,None,0,1,1,,1,122,102,,,0,None
Wilrijk,2610,Flanders,APARTMENT,APARTMENT,224000,,residential_sale,1,,None,0,0,1,15,0,,58,,,0,None
